X,Y,Z,weapon
607.23596,405.23267,121.81862,usp_silencer
964.7284,391.9703,133.1941,usp_silencer
984.43616,390.55988,132.76698,usp_silencer
215.90323,-783.4161,153.03125,usp_silencer
-1749.8019,1176.9705,53.837093,m4a1_silencer
-1775.0968,657.5767,57.523174,mp9
-1666.0223,682.12463,55.628693,fiveseven
429.10675,-271.5974,170.83366,m4a1
428.84097,-264.94592,167.50789,m4a1
-269.52045,-556.51294,164.03125,m4a1_silencer
-1384.4175,122.35599,91.02184,m4a1_silencer
-1479.288,4.0535727,103.03126,m4a1_silencer
-1483.913,-13.976746,106.02331,m4a1_silencer
-947.9034,1152.1935,74.35304,m4a1
-1104.1517,875.9767,63.9364,m4a1
-1026.6278,1147.3983,81.4742,fiveseven
-1350.4202,1412.3688,98.13254,awp
-1273.725,639.4048,69.93227,m4a1_silencer
-1773.4142,-463.02917,72.05786,m4a1_silencer
-1402.3188,242.6446,87.03125,m4a1_silencer
-1305.5338,1232.1744,101.13734,m4a1_silencer
1202.5686,-1166.556,4.381348,mp9
581.178,208.17221,156.03125,deagle
458.3826,-422.98212,184.65877,xm1014
-976.3353,-134.27313,97.11093,awp
-514.8885,646.1241,148.96297,m4a1_silencer
607.12054,743.0821,115.24686,m4a1_silencer
582.2342,809.90735,114.87985,usp_silencer
-609.6098,722.0291,123.76161,usp_silencer
-1320.7726,1130.5852,97.495636,usp_silencer
-1083.6946,1404.9282,73.11341,usp_silencer
-1296.6017,1151.8029,98.07996,usp_silencer
-2154.334,-222.25818,72.22153,elite
-321.208,-410.50012,53.159214,m4a1_silencer
34.85677,-758.3916,153.03125,m4a1_silencer
715.51514,-488.39368,128.55971,ak47
475.97015,-286.076,178.07294,deagle
584.89185,219.97064,156.03125,deagle
724.31195,288.83807,124.967926,deagle
-505.5266,671.55255,138.03125,deagle
798.56226,-227.72162,132.33899,deagle
705.50543,55.64156,130.90111,m4a1_silencer
-1697.3912,941.53796,52.03125,ak47
-1693.4615,939.37415,52.03125,ak47
-1459.6584,274.3557,135.68848,mp9
-1069.4785,957.20667,68.33023,m4a1_silencer
-1225.7758,954.87,56.03125,usp_silencer
-1849.0056,1008.7441,52.03125,usp_silencer
-1861.5443,999.1499,52.03125,usp_silencer
-1181.8086,-192.41418,103.03125,elite
-776.3131,1155.5836,73.9215,elite
-1728.0345,1032.9403,52.03125,mp9
-1157.7028,739.13336,54.349228,mp9
-1027.2869,1099.15,66.03125,famas
-1063.4293,692.18823,81.03125,elite
-1225.9338,719.6855,56.03125,elite
-920.5714,-724.2686,33.90115,mp9
-286.4651,-664.7263,164.03125,famas
-885.8102,-718.6836,37.0091,mp9
-1016.90247,-709.1706,35.522964,famas
-970.60205,-741.4845,33.447388,famas
-1726.6094,-665.6642,72.03125,m4a1_silencer
672.3328,-318.90356,138.65172,mp9
586.73785,906.02655,112.68651,m4a1_silencer
632.9562,580.12866,119.04433,m4a1_silencer
827.0391,-44.81427,130.90111,m4a1_silencer
-695.8901,-796.7316,32.093464,m4a1_silencer
-694.95135,-783.05774,32.07774,m4a1_silencer
1300.3939,454.16623,127.06128,m4a1
1300.8253,465.97836,127.16192,m4a1_silencer
689.1192,-253.52441,136.46661,fiveseven
311.10568,-892.43097,149.96416,m4a1_silencer
-1254.7223,-182.75104,106.03125,m4a1_silencer
-1462.0477,1130.9662,97.255264,m4a1_silencer
-1298.6702,287.08725,88.554886,m4a1_silencer
-1406.8721,419.16336,93.03126,m4a1_silencer
593.32526,-852.2798,109.65152,mp9
632.7308,-740.0893,99.82309,mp9
285.71265,-792.30383,153.03125,ak47
1304.7893,264.8335,130.53125,m4a1_silencer
1264.3297,310.28964,123.50259,m4a1_silencer
731.5337,-317.74695,139.93292,m4a1_silencer
718.7322,-312.29803,139.15031,m4a1_silencer
716.48987,-309.25415,139.06335,m4a1_silencer
1395.5675,576.6087,132.11676,ak47
602.56323,437.90622,122.34609,ak47
-84.73114,1333.4043,29.465992,ak47
-1046.6133,1006.583,68.03125,ak47
-46.166992,762.2525,72.04615,m4a1_silencer
-1724.0314,-161.65869,77.145226,mp9
545.85504,917.1253,112.461075,usp_silencer
570.40814,921.15204,112.353806,usp_silencer
1293.8534,363.60236,124.30082,hkp2000
-1073.6047,848.55646,68.55177,deagle
-1075.479,855.64417,68.55177,deagle
-1154.3345,745.51,54.73841,deagle
1299.5844,-826.362,1.9173961,usp_silencer
-437.6501,459.91592,167.8674,m4a1_silencer
-495.3844,621.0065,162.03125,m4a1
798.41174,864.4017,107.79523,m4a1_silencer
-312.9287,-689.48816,34.025005,m4a1_silencer
-2175.9695,-342.42932,76.64126,m4a1_silencer
-411.02356,466.02454,175.03125,usp_silencer
694.43884,917.93646,109.546844,hegrenade
1245.7534,258.75504,130.53125,ak47
1119.4591,-254.99927,114.9495,ak47
1287.5536,489.43518,125.58743,awp
529.2318,934.0517,112.07318,hegrenade
609.86725,689.76605,115.692215,m4a1_silencer
1358.7057,936.6683,122.933365,m4a1_silencer
4.895586,905.4642,72.48273,m4a1_silencer
-2186.5876,132.90982,72.03126,m4a1_silencer
-2139.0334,385.92514,79.46041,m4a1_silencer
-2119.6772,399.49207,75.139626,m4a1_silencer
93.968544,614.30585,88.80923,awp
-132.2132,1588.1306,23.482199,m4a1_silencer
-723.2472,-163.00598,62.959686,m4a1_silencer
-735.81104,-118.85974,64.87047,m4a1_silencer
-1698.7007,1144.5348,52.031254,m4a1_silencer
-1718.2479,1128.2654,52.03125,m4a1_silencer
-1088.2559,863.09753,68.27191,awp
494.6441,-879.78284,128.55588,famas
-1947.9192,1108.3732,56.223778,m4a1_silencer
-1948.6355,1108.3712,56.77671,m4a1_silencer
-44.53009,-1858.6606,-159.96875,mp9
-1646.7454,925.79865,52.03125,awp
-1674.0317,117.44288,120.03125,m4a1_silencer
-180.06165,1011.32666,70.03125,awp
-2132.791,472.20114,75.03125,m4a1_silencer
-427.36963,-396.5758,58.276085,hegrenade
-424.53992,-400.53943,56.248917,m4a1_silencer
1354.3044,941.7094,122.10244,m4a1_silencer
1302.8411,855.0655,118.228325,m4a1_silencer
-1895.2853,381.62503,171.28185,m4a1_silencer
-363.75708,-792.76154,123.66514,m4a1
-671.3884,-496.68842,44.518017,ak47
-426.46375,-771.8013,32.031254,m4a1
-1572.7316,659.95917,63.325035,ak47
33.699017,-680.26544,158.76218,usp_silencer
-420.03174,2.8296752,114.54264,famas
1081.9236,164.37962,134.03125,famas
-948.58057,1150.2322,73.605576,famas
-948.58057,1150.2322,73.605576,famas
-1328.4573,1433.8488,98.88638,m4a1_silencer
688.9015,112.80494,130.5842,m4a1_silencer
-452.34302,1157.6713,64.03125,m4a1_silencer
