X,Y,Z,weapon
1282.6211,-197.23486,118.22531,glock
1180.338,-395.38965,67.50459,glock
1263.2496,-409.78326,62.608673,glock
-1200.9172,-873.6444,38.634068,glock
739.31665,486.21915,129.33463,glock
-676.85803,-767.7688,32.031254,galilar
-2209.8655,40.378643,72.03126,galilar
-2096.1152,333.64764,88.03125,galilar
-2097.103,485.47037,75.03125,ak47
-443.66797,-757.8595,32.03125,galilar
-2125.2485,-202.59491,72.265045,mp5sd
-1140.1283,673.26404,58.458218,mp5sd
-1705.0256,838.46814,52.03125,galilar
-1160.8173,1133.9778,52.27552,mp5sd
-592.63525,1342.357,26.623486,fiveseven
648.0998,-287.74408,137.92911,ak47
720.19104,95.23581,130.03125,ak47
1271.3873,503.99377,123.65884,galilar
788.7348,155.84016,130.03125,galilar
790.20703,164.77817,130.03125,galilar
708.80237,171.93828,130.03125,p250
668.15393,-526.2927,125.99788,ak47
656.1521,-521.47516,126.55059,ak47
441.88928,-199.56866,162.03125,ak47
-1111.5259,-220.01807,103.24615,ak47
-1599.1769,1027.2056,52.03125,ak47
758.25116,-687.54846,77.22509,ak47
1152.08,-633.7032,118.03125,awp
-960.7734,1142.7719,69.777664,ak47
1154.4934,-632.0609,118.03125,awp
-1087.1123,1036.1165,68.03125,ak47
-1637.9977,1186.5919,52.03125,ak47
-1622.6661,1016.9145,52.03125,ak47
-2120.305,340.03104,88.03125,awp
-1649.7537,1173.1434,52.03125,ak47
-529.31305,1027.3625,70.03125,ak47
-198.74005,883.08057,77.664246,ak47
-2175.971,-380.5158,77.5762,ak47
-821.12494,1317.2115,121.83091,awp
1061.5619,-890.1582,9.03125,awp
933.1204,369.55505,131.20392,ak47
795.99347,-263.96936,136.7696,ak47
-1184.2422,-337.09778,103.726814,awp
-1709.1134,1077.4,52.03125,ak47
854.7069,-1436.901,3.1226478,awp
343.0036,-26.44043,154.03125,ak47
1307.6559,240.04903,130.53125,ak47
1280.7234,246.47183,130.53125,ak47
1366.7334,-843.395,1.0943022,ak47
-1127.9496,-1070.8066,11.026768,hegrenade
-392.22034,-874.062,32.046505,ak47
758.686,-641.73224,82.89283,ak47
567.08655,219.36726,156.03125,awp
1176.6136,910.89386,109.17866,awp
-1854.208,1121.9138,52.03125,glock
1062.6246,-837.2322,4.057993,galilar
1209.5199,-725.1458,9.073948,galilar
1050.2008,-865.6384,7.523293,galilar
1119.5242,21.210938,135.99165,m4a1_silencer
-214.82764,-789.6573,164.03125,galilar
389.412,-157.42322,155.34416,ak47
345.64716,249.80936,155.09978,m4a1_silencer
-2149.3074,208.69946,74.384674,tec9
-1408.9036,969.9707,56.031246,glock
-1414.8707,955.0336,55.051777,glock
-1311.9093,359.33466,87.660866,tec9
-1251.0396,-1354.6366,-20.924011,p250
449.1419,218.9566,152.65475,ak47
1299.1873,-181.73462,121.377655,ak47
1086.8115,2.551098,134.03125,ak47
1106.038,-0.8619385,134.03125,ak47
804.41113,-222.94867,131.77072,ak47
141.37192,-893.5684,154.63304,ak47
1372.0289,-556.57,34.292027,ak47
1383.9686,-561.6026,36.316414,ak47
688.7178,294.1332,124.27034,ak47
1372.1387,-551.5641,35.11751,ak47
1120.549,-79.52057,129.28679,ak47
1075.8159,-949.413,3.5282516,ak47
1328.8129,-494.27374,40.60587,ak47
932.97797,375.0781,132.00047,ak47
864.60846,371.12003,130.66798,glock
-548.40436,661.6079,139.81345,ak47
-1193.4755,1443.739,102.03125,ak47
-1470.1206,707.465,56.03125,ak47
-1347.1335,677.87744,57.103416,ak47
-929.64154,-683.98804,41.365105,ak47
1381.4932,-444.2063,56.318996,ak47
1183.6218,-274.60138,110.99716,tec9
1075.7513,-172.76447,124.6789,p250
739.5621,413.48062,129.65047,ak47
-337.9823,892.79193,80.96561,ak47
-299.38867,804.01154,77.664246,ak47
-2135.8987,459.02667,75.03125,galilar
-310.80286,888.1249,78.98032,ak47
-1162.9156,1023.43317,53.507698,galilar
-1678.3246,541.2586,73.03125,mac10
-1788.0985,212.54408,80.35933,ak47
-1849.7936,490.23593,168.03125,ak47
-1333.5923,906.7827,54.031246,mac10
-1852.3352,1183.8169,53.750618,ak47
600.9497,155.78839,149.52975,p250
953.66644,-199.45923,123.75828,glock
626.25214,147.57776,131.12799,p250
722.9334,-5.619812,130.03125,p250
1324.8351,-489.19165,41.935623,glock
-2140.6765,612.9099,52.78265,mac10
-2112.2058,767.03796,53.7095,mac10
-1995.5879,620.9946,52.031246,inferno
-2093.9856,615.41034,52.031258,ak47
-2134.9685,1000.2803,116.03126,p250
228.08163,-801.52826,153.03125,ak47
1093.1903,-1027.6709,9.03125,ak47
225.34645,-811.90106,153.03125,hegrenade
937.0739,-1451.7657,8.718063,ak47
354.6304,89.35462,152.65475,ak47
-1202.6411,-870.1574,38.968716,ak47
-420.03137,-52.496704,92.72125,ak47
1210.7577,-447.83765,48.572548,mac10
150.32387,-633.949,163.89928,tec9
502.0807,166.28372,152.65475,ak47
589.01825,149.33931,156.03125,ak47
-2030.2869,-393.30432,79.82391,ak47
-2003.8376,-386.46448,80.03125,ak47
-1042.1783,1028.3406,68.03125,ak47
-1162.6552,951.10986,53.529354,ak47
-1259.7305,885.9437,128.03125,ak47
-961.0739,-116.02759,93.90053,tec9
-1272.1284,696.5555,56.03125,deagle
-1294.8645,190.50775,88.82672,m4a1_silencer
-1733.4032,-478.59277,75.198715,ak47
-1079.6885,1025.6959,68.03125,ak47
-672.7463,747.29114,104.298294,ak47
329.00107,-156.9679,210.44118,ak47
328.6236,-158.16168,210.5114,ak47
442.0899,-544.51733,182.03125,ak47
-2142.9038,586.118,51.930004,ak47
-93.89209,-727.97705,153.10306,tec9
-1763.638,1044.755,52.03125,galilar
-1599.0314,1179.5028,52.03125,galilar
799.0215,266.91702,130.53125,glock
653.4935,404.36093,121.099075,glock
476.7637,200.00319,152.65475,glock
380.6114,200.51775,152.65475,glock
661.29236,190.38425,134.03125,usp_silencer
1127.7272,-869.3555,8.809982,ak47
1331.7703,-807.0899,2.3949585,ak47
104.36565,-858.66675,153.03125,galilar
135.18738,-823.32056,153.03125,galilar
-962.3807,-843.96875,34.76401,ak47
1224.5979,-315.01868,101.945015,ak47
1103.3936,-1443.1969,7.3925915,galilar
78.36868,-853.7797,153.03125,ak47
1299.9686,-232.85321,114.80146,glock
1198.7172,-373.45715,76.64196,tec9
-2000.7388,265.74295,88.03125,tec9
-2135.7249,171.377,72.03126,tec9
-1300.5405,25.479591,103.717094,p250
-305.6167,1049.6326,69.21866,p250
-1081.5336,778.40186,68.0383,awp
1066.3342,-1479.9702,11.748116,awp
-988.1538,-232.66724,100.57066,ak47
-289.06238,1037.8624,70.03125,m4a1_silencer
-1308.8728,354.79166,87.43583,ak47
-1736.1654,962.81146,52.03125,m4a1_silencer
-48.876587,-735.284,153.03125,ak47
-613.37506,-338.22363,58.84471,ak47
530.3213,-855.0132,119.60901,awp
-1707.6577,716.3095,52.03125,glock
-37.81903,711.8308,66.05378,usp_silencer
141.17363,-805.6415,153.03125,glock
377.2578,-801.2737,137.08372,usp_silencer
-1108.3516,-874.4441,35.69457,ak47
-211.93188,-834.1651,164.03125,ak47
302.2081,-427.01288,182.03125,tec9
-268.063,-374.0948,164.03125,m4a1_silencer
-723.27563,-173.9862,62.798878,tec9
-460.69226,-199.94702,56.030586,m4a1_silencer
-1869.6505,1170.0767,52.568302,m4a1_silencer
-1394.4241,608.59283,73.03125,ak47
-2143.9697,848.4715,116.03125,m4a1_silencer
700.1658,-620.88617,92.65042,ak47
644.25714,-783.73596,93.92646,ak47
987.93835,-834.0672,7.161062,galilar
503.9687,-903.96875,131.14073,ak47
-272.33948,-464.12793,164.03125,ak47
333.2977,-883.3975,147.37405,galilar
140.718,-630.26953,166.04562,ak47
689.81116,-174.77173,127.77565,ak47
722.1569,20.135303,130.03125,ak47
859.694,381.41687,132.09393,ak47
-1176.9855,-848.3756,36.61296,ak47
-1176.1371,-853.1202,36.285446,ak47
-1174.2452,-856.6058,35.926136,ak47
-745.55145,-844.69806,34.165283,ak47
-983.5906,-828.1181,33.83059,ak47
181.4653,-903.7002,156.34874,ak47
-805.4898,-842.5905,38.024204,ak47
109.219284,-831.7248,153.03125,ak47
985.73206,10.08784,130.03125,hegrenade
539.3818,144.37906,156.03125,ak47
-1457.006,596.8204,73.03125,ak47
1178.1589,-307.02283,108.645775,ak47
1292.729,-117.33606,130.53125,ak47
1051.1385,-193.16101,123.4703,ak47
732.5445,-1639.9937,-65.789,ak47
884.9654,-263.97083,136.67657,ak47
-1305.5784,1122.163,98.19423,glock
-1508.2018,1144.6719,97.88954,glock
-1388.0095,1384.2468,97.255264,glock
-1732.5269,505.6457,168.03125,glock
-1419.7612,937.30756,54.03125,usp_silencer
-2006.4067,-398.73633,80.03125,ak47
-2003.4839,-398.47437,80.03125,ak47
