X,Y,Z,weapon
1712.5352,1350.8555,-151.96875,elite
1712.4807,1352.7767,-151.96875,elite
-591.08765,152.24834,-93.96875,usp_silencer
1746.9258,1098.4718,-145.96875,elite
1700.9989,958.06824,-151.96875,elite
590.8889,1379.9685,-80.7276,m4a1_silencer
518.1288,1365.119,-33.348877,m4a1_silencer
386.2884,1487.4368,-5.010681,elite
406.78204,1333.8204,-29.96875,m4a1_silencer
165.00798,1571.2058,-31.96875,elite
-1194.1841,920.6542,0.03125,famas
-1160.9373,888.5042,0.03125,famas
154.88828,79.20432,-151.96875,m4a1_silencer
-732.50195,913.1675,38.03125,m4a1_silencer
-1121.1166,1034.2817,14.097498,m4a1_silencer
192.53008,481.7141,-29.018372,xm1014
1484.1544,1562.597,-151.96875,xm1014
1485.0114,1556.012,-151.96875,xm1014
1151.7664,1510.5507,-151.96875,m4a1_silencer
1201.1484,1799.3738,-191.96875,m4a1_silencer
308.26282,535.6348,-28.96875,m4a1
310.73697,526.8749,-28.96875,m4a1
-19.89502,884.16003,0.26654434,m4a1_silencer
-843.6861,1172.447,36.031246,ak47
-745.9189,-626.5454,71.97481,ak47
36.393402,616.0853,2.0312538,ak47
13.612012,876.853,0.26654482,m4a1_silencer
108.12964,607.45685,-31.394226,ak47
28.406052,615.8145,2.031248,ak47
74.59318,599.2262,-12.826538,ak47
-18.780151,1645.9698,2.151402,m4a1
-14.860168,1645.739,-0.43115234,m4a1
1257.1467,1516.7045,-151.96875,m4a1
1051.5133,2247.4614,-39.96875,m4a1_silencer
-422.2915,302.64883,-119.96875,m4a1
-972.4194,777.3228,-1.96875,awp
-1533.7563,411.98236,0.03125,m4a1
-1221.1202,795.58246,0.031248093,awp
-917.1672,1095.4214,35.031246,m4a1_silencer
10.042684,617.92786,2.03125,ak47
379.3595,531.986,-31.70111,ak47
34.869934,609.5529,2.03125,m4a1_silencer
-125.50543,444.8829,0.26547813,ak47
-849.64716,1108.7875,36.031246,awp
1599.2351,1686.0293,-139.94293,m4a1_silencer
-933.1951,796.3503,15.270713,m4a1_silencer
-1328.9462,968.34863,0.031248093,m4a1_silencer
-966.8467,521.5638,0.03125,m4a1_silencer
-501.1682,103.222084,-119.96875,m4a1_silencer
750.0084,381.80255,-151.96875,usp_silencer
-137.92346,345.94632,0.26714087,usp_silencer
-785.64984,358.76544,-55.96875,m4a1_silencer
-19.890686,774.1792,0.26654434,m4a1_silencer
-1298.4209,1148.243,1.03125,m4a1_silencer
-360.43176,1266.127,127.89993,fiveseven
0.54980046,273.50626,-188.83362,m4a1_silencer
129.24562,107.50333,-148.96875,m4a1_silencer
-597.5613,404.18015,-71.184814,m4a1_silencer
-600.5175,317.46912,-85.52667,m4a1_silencer
-408.34192,60.78051,-119.96875,awp
1742.5664,1138.4427,-147.78174,awp
-870.8213,835.8631,35.03125,elite
-64.617004,8.601368,0.2940359,deagle
191.76077,-331.59204,0.26654434,deagle
-876.0313,250.03125,-55.96875,fiveseven
-596.0315,288.83786,-87.96875,deagle
303.04178,1319.2528,-28.96875,m4a1_silencer
367.22067,1247.0731,-31.265747,m4a1_silencer
318.143,1278.4258,-29.169495,m4a1_silencer
1727.0673,1371.1776,-151.96875,m4a1
-65.87128,20.868755,0.2858224,m4a1
-908.74475,1113.5176,35.031246,m4a1
777.59937,1390.1792,-87.96875,m4a1
1782.2258,1560.9825,-151.96875,m4a1_silencer
-788.6797,108.69414,-87.96875,m4a1_silencer
1037.8392,2309.1663,-39.96875,m4a1_silencer
1487.024,1575.7604,-151.96875,fiveseven
1344.2046,903.0392,-151.96875,m4a1_silencer
1350.89,464.9632,0.03125143,m4a1_silencer
-597.38416,337.31573,-82.072815,m4a1
-980.87177,1183.0851,35.031246,m4a1_silencer
1597.7517,1662.1542,-132.63556,inferno
-163.28156,2062.6765,24.03125,m4a1_silencer
-187.78577,2060.195,24.03125,m4a1_silencer
608.9433,255.02539,-188.78699,m4a1
190.47787,88.01591,-151.96875,m4a1_silencer
-1044.4688,922.22144,21.977692,m4a1_silencer
1110.1046,283.12762,-188.83362,m4a1
-1331.907,519.8278,0.031248093,m4a1_silencer
1719.6992,952.0468,-151.96875,m4a1
1716.8839,955.715,-151.96875,m4a1
-1027.2915,508.0605,0.031250477,ak47
-211.27979,-392.10187,0.2665453,ak47
922.60443,2211.4822,-39.96875,m4a1_silencer
-966.9717,-462.22382,3.6646132,usp_silencer
-1578.9192,654.4569,38.03125,elite
-1330.4554,688.6397,0.031250954,elite
-1215.8077,727.2693,0.03125,elite
704.6566,1319.9067,-87.96875,usp_silencer
-788.8426,169.80724,-87.96875,m4a1_silencer
-725.1625,627.99414,38.03125,m4a1_silencer
-663.13794,533.3996,38.031254,m4a1_silencer
-691.02637,612.9791,38.031254,m4a1_silencer
-1067.4999,912.8391,7.0850286,m4a1_silencer
-182.18866,1336.6619,65.10337,ak47
1757.5721,1283.8427,-146.22705,ak47
95.5849,1119.5016,-31.96875,m4a1_silencer
112.547775,1124.6516,-31.96875,m4a1_silencer
432.41028,1276.9928,-29.96875,awp
334.14066,920.2169,-30.669312,awp
906.3971,2214.2708,-39.96875,m4a1_silencer
-848.53534,520.45447,38.3324,m4a1_silencer
-154.49683,1688.0742,27.03125,awp
1243.5524,194.60617,-145.96875,m4a1_silencer
597.1198,1379.3849,-84.78491,ak47
-242.63312,1261.5574,64.20235,awp
141.81754,99.939445,-151.13129,m4a1_silencer
1261.0577,2095.9688,-191.96875,m4a1_silencer
820.8025,1674.8185,-48.083435,m4a1_silencer
820.81714,1666.2335,-53.806763,m4a1_silencer
628.46564,168.84987,-188.83362,ak47
-1139.1162,272.49255,-22.96875,elite
-688.3804,624.9555,38.031246,usp_silencer
-1597.5984,591.4282,38.031246,usp_silencer
-181.49146,1208.1606,66.03125,usp_silencer
-1109.6364,532.8246,0.03125143,usp_silencer
-98.93524,302.76364,0.2684188,mp9
-108.18573,304.99963,0.2684188,mp9
176.75247,123.96125,-148.96875,hegrenade
176.75247,123.96125,-148.96875,hegrenade
-251.40668,-339.66296,0.26577282,mp9
-652.08514,413.82254,-71.96875,mp9
-656.1986,412.38593,-71.96875,mp9
109.23168,1621.9238,-28.805237,m4a1_silencer
1194.3035,2027.0277,-191.96875,awp
879.90594,2125.2603,-39.96875,awp
1180.7255,2013.7117,-191.96875,usp_silencer
1636.099,908.0595,-151.96875,m4a1_silencer
-935.21484,309.0639,-33.126892,m4a1_silencer
-963.4109,268.31967,-22.96875,m4a1_silencer
54.038666,614.365,0.69617605,awp
-1023.7967,836.8823,0.03125,awp
1040.4744,276.94995,-188.62885,mp9
-1709.9816,-97.27142,32.03125,mp9
-1673.3535,206.28322,0.056185722,xm1014
921.3292,1451.9896,-87.96875,awp
912.79926,1572.4735,-87.96875,m4a1_silencer
954.9994,1530.6097,-87.96875,m4a1_silencer
1142.6919,1516.8419,-151.96875,m4a1_silencer
-608.5806,355.54953,-80.93738,m4a1_silencer
-904.1564,778.0135,20.18783,xm1014
519.1177,1335.725,-33.992798,awp
1540.3091,850.39374,-151.96875,m4a1_silencer
260.9122,2194.2566,-162.16052,awp
362.92993,2195.1125,-129.37079,awp
-784.1388,237.87814,-62.710327,m4a1_silencer
-1278.6709,394.71094,1.03125,m4a1_silencer
-892.29504,299.04596,-55.96875,m4a1_silencer
-1191.8014,946.8877,0.03125,m4a1_silencer
-979.2072,812.55524,1.5755513,m4a1_silencer
792.07806,1673.5012,-48.96161,usp_silencer
756.26154,1639.0742,-71.912964,hkp2000
1190.7705,1562.9835,-151.96875,usp_silencer
224.28076,2503.831,-149.96875,usp_silencer
1160.8568,332.6929,-145.96875,m4a1_silencer
-1515.6698,750.1577,38.031254,m4a1_silencer
-1479.0198,789.7788,38.031254,m4a1_silencer
-530.9171,72.626495,-103.7666,m4a1_silencer
-520.7763,87.44837,-110.358154,m4a1_silencer
996.5462,2330.4355,-39.96875,m4a1_silencer
831.109,1253.2158,-87.96875,m4a1_silencer
1297.0034,1569.0698,-151.96875,m4a1_silencer
-83.915955,2854.8477,-144.82379,m4a1_silencer
1504.8455,865.9563,-151.96875,m4a1_silencer
787.75604,1282.7565,-87.96875,awp
1541.3218,1974.4006,-151.96875,m4a1_silencer
755.60547,1347.3224,-87.96875,awp
-1077.8328,1481.3353,-30.96875,m4a1
-238.86859,2099.0015,24.031248,m4a1_silencer
-1332.1235,1085.8363,0.031249046,m4a1_silencer
-1109.4382,898.3931,0.031249046,m4a1
-1301.4922,623.11786,0.031248093,m4a1
1803.9719,1165.7001,-106.96875,awp
-1848.5314,-97.1615,32.03125,m4a1_silencer
-1139.0184,1785.6326,48.031246,awp
-1016.2917,-191.08209,0.03125,m4a1_silencer
-1137.3252,1777.1652,48.03125,awp
-789.7477,87.9117,-87.96875,usp_silencer
1661.5881,909.854,-151.96875,usp_silencer
1637.4625,1003.6835,-151.96875,usp_silencer
-121.37195,864.8524,0.26654434,usp_silencer
-917.35864,719.3341,-3.96875,usp_silencer
-121.42157,862.9919,0.26654482,m4a1_silencer
78.22908,1602.0267,-29.96875,mp9
100.32866,1610.4928,-31.96875,mp9
537.6438,1344.48,-46.056335,m4a1_silencer
120.51532,1537.0856,-31.96875,usp_silencer
-1841.6172,203.40836,58.03125,m4a1_silencer
1507.0602,2241.8943,-151.96875,m4a1_silencer
974.7334,1739.0703,-190.24292,m4a1_silencer
1703.1329,1823.5676,-70.96875,m4a1_silencer
1101.8933,1688.6414,-151.96875,ak47
744.38904,1578.2567,-87.96875,m4a1_silencer
-163.14502,738.88446,0.26654434,m4a1_silencer
1478.6433,1162.6019,-145.96875,fiveseven
1771.865,1528.1646,-151.96875,ak47
1748.1932,1718.8466,-118.06476,ak47
1397.3147,2182.832,-179.40778,ak47
1037.6023,2339.6091,-39.96875,ak47
723.08057,1987.9838,-39.78424,m4a1_silencer
764.0054,1991.9628,-39.96875,m4a1_silencer
1778.7902,1589.0619,-151.96875,ak47
1682.1826,1907.1305,-83.96875,ak47
1654.2919,968.1105,-151.96875,m4a1_silencer
1637.818,1066.823,-151.96875,usp_silencer
342.9625,1584.1119,-31.96875,m4a1
359.39328,1588.2281,-26.268433,m4a1
-1232.2985,-579.2577,96.03125,ak47
1251.2275,901.74774,-151.96875,m4a1_silencer
-935.25037,455.2654,1.03125,awp
225.61636,2248.6792,-149.96875,m4a1
1764.5818,1480.2931,-151.96875,m4a1_silencer
-1316.828,756.62396,0.03125,m4a1
-36.24756,894.0892,0.26654482,m4a1
1281.5101,867.4787,-151.96875,awp
1611.3973,1431.6022,-147.6637,awp
630.9118,1921.3433,-38.96875,m4a1
282.70303,2259.7642,-162.47534,m4a1_silencer
1641.6422,1939.9728,-73.064026,ak47
745.9419,1629.0739,-78.579895,m4a1
746.1184,1627.7853,-79.4389,m4a1
744.5522,1604.7167,-87.96875,m4a1
1803.9678,1626.9789,-151.96875,ak47
