X,Y,Z,weapon
-1672.3727,325.18396,0.03124857,inferno
-915.54834,312.53754,-46.647583,ak47
-909.8547,311.4125,-50.56201,ak47
-876.03125,250.03136,-55.96875,ak47
1775.2598,1042.9945,-141.40295,ak47
-945.0965,511.2308,0.03125,ak47
-924.6237,622.69226,-3.96875,ak47
-830.00073,858.2069,35.03125,ak47
203.84833,79.07403,-151.96875,ak47
1752.2058,1273.139,-148.47235,ak47
-1883.8849,233.56912,58.03125,awp
-285.80676,-362.82825,0.26359272,deagle
-174.73071,-52.243042,0.26654434,deagle
1162.505,1449.484,-144.20795,mac10
1510.8986,835.9573,-151.96875,galilar
1455.2773,1605.5377,-151.96875,ak47
1754.8651,1722.1317,-115.87463,ak47
1762.7911,1446.2596,-146.56946,ak47
-749.0044,52.03132,-87.96875,ak47
-1000.3131,565.4509,-3.96875,ak47
-1542.2501,570.1953,20.540173,ak47
1029.9807,1611.4854,-53.96875,glock
1489.913,800.1083,-151.96875,glock
1491.0143,804.8304,-151.96875,glock
985.2808,2170.2786,-39.96875,glock
1243.602,863.4121,-151.96875,glock
48.628475,-416.14197,0.26654434,ak47
51.081066,-413.11273,0.26654434,ak47
828.8411,-30.11792,-123.88379,galilar
830.1649,-25.504578,-126.95935,galilar
-224.56128,-237.18701,0.26654577,mac10
-405.81726,-432.28735,22.411415,ak47
-1049.09,599.9685,-1.96875,ak47
-1108.237,509.79236,0.03125,ak47
-1090.215,250.04367,-22.96875,galilar
-1091.4409,251.0818,-22.96875,galilar
-408.64703,93.860825,-119.96875,inferno
-549.77795,105.786934,-93.96875,ak47
-551.70874,117.7761,-93.96875,ak47
-979.76074,593.2901,-1.96875,ak47
1081.2681,883.35065,-148.96875,m4a1_silencer
-1204.3772,292.228,-6.96875,ak47
743.5741,-78.793335,-85.96875,ak47
-1345.54,-218.00867,122.35957,ak47
-871.83325,350.36188,-55.96875,ak47
-1598.9684,702.6758,38.031246,ak47
-1302.6,577.2015,0.031249046,ak47
-1440.3807,-166.85669,64.03125,glock
-941.96313,1078.5654,35.031246,glock
-639.3567,62.931087,-94.8869,glock
-995.4164,578.03546,-3.96875,glock
-1210.6385,558.0739,0.03125,glock
648.20746,-804.6585,-11.96875,ak47
-530.7223,85.44654,-103.89325,mac10
623.973,-1027.7288,-11.96875,ak47
-671.9685,350.56097,-83.65845,ak47
-671.66156,342.0595,-88.29559,ak47
836.69336,3.0483472,-145.99469,ak47
-976.21375,-633.0818,70.03125,ak47
-390.45605,60.082737,-119.96875,ak47
-1202.4064,447.93835,1.0312519,ak47
-1508.1636,809.9674,38.031246,ak47
-165.37817,423.9311,0.2665434,ak47
1179.8556,256.06427,-145.96875,ak47
1489.7848,858.7168,-151.96875,ak47
-126.96588,659.36633,0.26654434,ak47
64.0193,892.57025,2.031251,ak47
788.6115,1341.3636,-87.96875,ak47
938.9939,2284.8232,-39.96875,ak47
-1264.233,-164.0788,0.6195204,ak47
837.30365,173.28996,-145.96875,galilar
1686.9624,1961.3812,-83.96875,ak47
1354.5371,1658.3457,-151.96875,m4a1
1422.903,1703.155,-151.96875,ak47
-147.30035,-392.4168,0.26464176,hegrenade
-147.30035,-392.4168,0.26464176,hegrenade
1649.5931,1133.7175,-151.96875,m4a1_silencer
908.1017,477.83322,-153.7597,ak47
1090.3577,363.10452,-148.96875,ak47
-1259.7657,262.06308,-7.132141,ak47
-1583.5305,351.33618,0.031249046,ak47
-713.02893,297.36697,-55.96875,ak47
-89.87836,1508.405,26.613932,ak47
899.86127,1583.2603,-82.37555,ak47
1189.518,2027.2473,-191.96875,awp
983.4511,1639.2336,-113.96875,ak47
1695.105,1488.8475,-151.96875,awp
-29.8609,-411.72736,0.25554085,awp
-1808.12,288.28064,2.03125,ak47
-621.0916,350.64832,-83.61078,ak47
-1561.0914,696.7958,38.031254,ak47
1321.1716,542.96313,0.03125,m4a1_silencer
836.80316,-13.292969,-135.10046,awp
-711.6571,923.25134,38.031246,glock
-700.41266,916.60474,38.031246,glock
-696.46936,911.5711,38.031246,glock
-1147.6395,1812.0308,48.03125,usp_silencer
-1204.532,1808.1195,48.03125,usp_silencer
721.13116,1287.7264,-87.96875,galilar
611.6828,1277.7606,-87.96875,galilar
345.05704,1250.5505,-31.692688,mac10
732.15125,1278.6805,-87.96875,mac10
773.70856,1331.7852,-87.96875,mac10
-1594.723,698.3516,38.031254,ak47
-1866.5017,236.25859,58.03125,galilar
-224.72131,1271.609,66.03125,tec9
-877.97095,1164.8835,35.03125,tec9
-725.4943,1080.4719,32.03125,tec9
1405.4609,828.91156,-151.96875,ak47
243.22421,2301.715,-149.96875,m4a1_silencer
803.131,750.13336,-148.96875,mac10
798.5135,779.184,-150.21204,mac10
1068.9219,828.60236,-148.96875,ak47
1062.5406,798.0549,-188.83362,ak47
1315.1915,864.97064,-151.96875,mac10
119.677635,760.6021,-21.434692,ak47
754.27814,-48.67462,-110.57611,ak47
-909.887,666.43536,-3.96875,ak47
800.51306,271.9525,-145.96875,deagle
-1749.4059,357.12845,2.03125,glock
-34.764282,-270.6787,0.24076891,glock
-419.38635,54.616123,-119.96875,ak47
-548.74805,98.78183,-93.96875,ak47
-1572.8766,619.15436,38.03125,ak47
-789.2268,188.82413,-87.96875,ak47
-1584.5908,654.0697,38.03125,ak47
1486.0828,1028.5574,-145.96875,ak47
-203.13843,455.75623,16.03125,ak47
1608.0021,1484.7344,-151.96875,hegrenade
1460.238,1673.2391,-151.96875,ak47
1701.7556,1769.4619,-84.32117,ak47
-100.763306,835.99854,0.2665453,mac10
262.23514,427.4521,-28.96875,ak47
110.82669,845.7579,-15.611755,mac10
466.14297,1291.1442,-31.96875,ak47
790.72723,1504.0995,-87.96875,ak47
777.2938,1306.7823,-87.96875,ak47
791.77576,1527.8452,-87.96875,ak47
-707.4369,359.2322,-55.96875,ak47
-710.8859,402.27725,-55.96875,ak47
-1544.3461,589.56647,33.697426,ak47
-736.18634,934.2571,38.031246,ak47
-960.22186,1070.181,35.03125,ak47
-1213.6354,-170.11371,2.0312495,ak47
1097.8081,864.7959,-148.96875,ak47
-1601.6978,236.54141,0.45243454,ak47
-876.03033,455.50925,1.03125,ak47
-892.4683,1108.2792,35.031254,ak47
