X,Y,Z,weapon
1358.9854,2476.6921,53.440952,usp_silencer
798.7797,2078.0637,-44.272827,usp_silencer
-38.40912,2188.0544,-128.85046,usp_silencer
1289.4696,2273.2217,12.747444,usp_silencer
-127.29016,2181.4163,-126.47827,usp_silencer
1051.0315,2806.8564,127.03125,m4a1_silencer
1771.188,2036.0292,3.5666547,aug
1482.1577,2283.0352,-2.1237793,m4a1_silencer
1478.3406,2306.9026,2.0188904,m4a1_silencer
1763.2899,2221.7588,3.587099,aug
-393.2163,550.23926,-2.9724731,famas
328.10876,2004.3177,97.5381,m4a1_silencer
324.99734,2010.6624,97.35011,m4a1_silencer
557.58124,2706.9543,96.664474,m4a1_silencer
554.6231,2701.7954,96.57711,m4a1_silencer
992.04675,2541.3071,152.03125,famas
531.37225,831.59717,2.1357212,ak47
1361.575,1247.55,-8.932434,m4a1_silencer
-745.4323,2549.0833,-80.59863,awp
1300.6284,2480.7073,67.92763,m4a1_silencer
645.0295,2408.1165,127.03125,m4a1_silencer
-1585.5782,1709.3973,61.03125,ak47
-954.09174,2363.9763,-47.99243,ak47
-535.50415,2069.0435,-119.92297,ak47
-1782.3813,1957.1704,-2.989685,ak47
-503.88007,2153.1743,-124.5741,ak47
-1094.9387,1126.384,-39.96875,awp
-1059.0122,1207.6835,-77.54138,ak47
-366.15387,1594.0228,-126.79132,m4a1_silencer
-2093.9727,3045.7964,35.106903,m4a1_silencer
617.089,2408.1042,127.03125,awp
-275.1775,1495.7327,-124.65204,mp9
-440.49023,1533.9254,-125.59021,mp9
-1599.7128,2771.8555,65.03125,awp
-1601.731,2772.298,65.03125,awp
728.3929,2230.4785,-59.19037,m4a1_silencer
-2025.9692,1650.4805,32.872826,ak47
-278.08112,838.50244,-5.593384,m4a1
-750.32874,2550.7344,-80.82086,awp
13.647705,2267.0542,-29.46875,m4a1
1461.2052,1214.7986,-10.960327,m4a1_silencer
312.4764,2101.5457,97.58406,ak47
1452.9879,1354.592,-11.569885,m4a1_silencer
1272.1732,2041.2649,1.4935455,ak47
758.62317,2680.1677,95.556984,m4a1_silencer
369.9847,1990.2634,95.79441,elite
464.79788,2255.3174,-127.84985,usp_silencer
-169.81543,2072.1636,-124.54974,usp_silencer
509.55167,2086.227,127.03125,m4a1_silencer
-1933.4797,2919.5654,36.03125,m4a1_silencer
-1800.0299,2587.8555,32.31002,m4a1_silencer
1402.6134,710.79614,-28.712036,fiveseven
1406.6149,730.98065,-22.89331,fiveseven
624.8409,1150.8679,1.8678756,ak47
750.6784,1145.5557,148.87738,m4a1_silencer
789.0078,1195.6644,142.01842,m4a1_silencer
1235.9688,2723.6997,98.79601,famas
312.71814,2038.2567,96.76087,famas
346.70932,2425.0732,96.40557,famas
1467.2838,1394.008,-10.1970825,usp_silencer
1508.5809,1333.556,-6.3339844,usp_silencer
