X,Y,Z,weapon
651.7921,2125.3435,-20.666077,glock
990.1729,2256.0637,12.910948,glock
-811.0787,2548.0505,-55.651917,ak47
-326.7046,1752.1094,-116.97101,ak47
723.0606,-46.104553,8.673879,ak47
1305.5413,2145.094,-0.06842041,ak47
283.72766,1644.108,22.257017,ak47
-343.51038,1543.7316,-126.06616,tec9
-398.4839,1518.4738,-126.27527,tec9
-1346.3042,1077.7124,37.336113,ak47
-1332.2665,1095.2289,35.030033,ak47
-1780.9772,1091.8029,33.94154,ak47
-445.701,1623.5518,-125.86676,ak47
1271.9304,2367.7632,127.03125,ak47
-301.66455,1128.12,-77.9978,ak47
-2008.0146,1723.8212,32.132965,ak47
-457.79932,924.72736,-33.542603,ak47
-2093.6213,1062.7456,39.28859,awp
278.27893,2294.0115,98.46604,awp
-1181.2494,1051.9231,1.8061852,tec9
-340.12573,1914.8533,-123.4353,ak47
-566.63385,1829.8226,-119.13959,ak47
1105.1246,2595.8962,96.42869,ak47
740.1045,847.78937,-0.03125,ak47
-1219.6213,1261.97,104.06003,ak47
655.60846,780.57074,0.7253213,galilar
-554.3782,2008.4423,-118.10962,ak47
-1837.1602,2477.6982,30.778175,awp
539.77344,629.0338,1.4255342,p250
443.22983,1596.3871,2.4037967,glock
385.42572,1699.9469,67.93148,glock
396.10373,1614.343,7.889869,glock
-568.67596,2012.86,-117.36066,elite
727.58496,964.2791,-0.11419678,ak47
1328.0492,2135.9268,-0.43719482,ak47
1290.7174,2530.5466,127.03125,ak47
1764.4991,2007.448,3.3782454,ak47
1338.0475,2964.4622,128.21466,galilar
-248.58356,1249.1073,32.104935,ak47
264.79733,1353.8671,0.30237103,ak47
290.3535,1369.7671,0.2948656,ak47
-1355.488,2156.8848,2.0827606,ak47
-1477.4979,2086.388,0.98428965,ak47
658.1818,780.17865,0.71166086,ak47
1096.88,1174.4395,0.18819857,ak47
1448.9681,1208.9924,-11.056152,ak47
1505.0332,1947.3165,-10.50177,ak47
-95.8313,-715.78754,28.449707,m4a1_silencer
-1993.8859,1948.5809,0.6029124,ak47
-2017.9517,2073.5215,-0.30163574,ak47
671.8403,1185.9354,3.5815063,m4a1_silencer
1309.7065,2046.8357,1.0312514,ak47
1141.8535,871.67706,0.08898401,ak47
1580.5646,1708.7206,-0.03125,ak47
1410.2065,2493.938,50.022068,ak47
-464.9735,635.52325,-0.33880615,ak47
1593.9255,2176.3547,-5.396118,ak47
1303.4863,2661.072,101.473946,ak47
1113.1329,1175.1371,0.2708888,glock
-2142.2893,1965.6573,3.7798686,ssg08
-1426.6212,2634.4744,124.3109,glock
-1289.2079,2682.5005,130.03125,m4a1_silencer
-462.20056,1660.4105,-124.94159,ak47
-534.6431,1768.408,-117.61633,ak47
-759.6322,2126.8274,-111.993164,tec9
-357.27405,-593.9679,55.086716,awp
11.002082,1581.9661,1.8047593,ak47
1569.1226,1834.6995,1.03125,ak47
317.97177,2008.7766,98.05498,ak47
-340.03162,1917.0769,-123.743835,awp
-1798.7081,2558.8184,32.14476,ak47
-1690.0656,1629.7898,2.5808148,ak47
-1672.0259,1634.6674,2.466023,ak47
-1672.5013,1634.5262,2.4688492,ak47
-380.57727,-593.9695,55.3435,awp
-439.33887,1670.841,-125.19397,ak47
-445.41217,1625.6514,-125.86249,ak47
1294.9829,2885.8538,127.968544,ak47
-456.28625,1671.3912,-125.0069,ak47
374.45422,1814.4152,101.790695,ak47
285.72934,2149.1387,98.58031,p250
1199.3232,824.2945,0.5003152,ak47
-485.515,1647.7275,-123.76398,ak47
-286.45935,1359.8915,-27.96875,awp
8.292289,1581.5264,1.8249488,ak47
297.64197,1456.5677,0.17298698,ak47
280.49344,1810.93,96.643265,ak47
1148.1439,1004.7372,-2.574829,m4a1_silencer
-925.005,-995.2577,127.55302,m4a1_silencer
-1205.6211,-412.3446,129.80974,m4a1_silencer
-2002.3214,1805.2584,33.03125,m4a1_silencer
-2024.2782,1827.9467,27.998882,m4a1_silencer
667.28656,918.2074,-0.4440918,ak47
1516.2744,1680.9443,-1.7477417,awp
1675.8402,1863.6122,0.55623007,awp
-1434.3776,2226.8086,0.031251907,awp
-1982.8489,1696.8063,31.648678,glock
446.29282,2709.2026,96.4001,ssg08
768.62964,2637.349,94.951004,ssg08
578.1845,2379.9717,67.03125,glock
-1094.9481,1342.2314,-112.056274,ak47
-160.58984,486.01862,-0.564209,ak47
424.87924,1785.3516,103.23188,ak47
