X,Y,Z,weapon
861.81287,2189.384,136.23888,usp_silencer
951.293,2779.9688,133.16092,usp_silencer
1683.9446,1171.3485,168.95396,mp9
1379.2424,1208.7173,181.03125,fiveseven
1440.4708,822.2513,138.11414,mp9
1215.3594,225.58969,169.00415,mp9
474.05154,2451.4998,166.03125,mp9
442.26187,2513.5103,163.75421,mp9
431.97903,2550.056,161.53125,mp9
679.6363,2943.1414,139.45444,deagle
1555.0808,1185.5138,177.11806,m4a1_silencer
1604.5208,1162.7286,168.7969,m4a1_silencer
1371.4991,1227.9438,181.03125,ak47
1576.5013,1201.9407,177.03125,m4a1_silencer
1600.8536,-20.591614,132.03125,ak47
865.4396,2203.5283,136.11418,m4a1_silencer
825.0412,2369.9578,136.03146,hegrenade
759.0949,2674.1685,136.03148,m4a1
70.40993,1118.8434,91.37089,mp9
865.2832,2192.4392,136.2374,ak47
1482.0177,723.6003,127.91371,ak47
1602.5138,1212.9119,177.03125,m4a1_silencer
2204.7656,991.6598,167.15598,awp
1860.3132,548.0126,220.03125,awp
2129.0793,-215.69586,97.38609,ak47
1649.795,2117.666,176.03125,ak47
2460.218,-142.00769,97.17587,m4a1_silencer
1819.0276,301.17316,161.03122,ak47
1858.8901,333.91205,161.03122,ak47
1751.9972,1192.9719,173.52563,ak47
390.8359,2100.5747,139.4935,awp
1685.8757,-12.363464,132.03125,m4a1_silencer
416.73755,1762.2495,134.03122,ak47
2660.2866,1168.7681,209.03125,awp
95.62398,782.4895,80.03125,ak47
376.5334,1814.4688,131.24156,ak47
1840.1847,1413.5106,160.03125,m4a1_silencer
1900.9529,1747.0345,161.2927,m4a1_silencer
1853.1243,1753.6783,160.03125,m4a1_silencer
2426.38,-179.93542,202.03125,ak47
1465.0106,388.59384,129.03125,awp
901.2459,468.25415,96.03125,tec9
1404.413,-58.586548,283.24597,m4a1
1414.6061,1226.0957,176.03125,ak47
1397.0099,608.53174,119.80434,m4a1_silencer
1978.8619,126.342575,136.64754,ak47
1464.4993,390.2716,129.03125,awp
1484.7897,623.7867,120.62289,awp
1.0743536,2706.8176,161.03125,m4a1_silencer
114.80218,2483.7766,161.03125,m4a1_silencer
23.534765,2757.0496,161.03125,m4a1_silencer
1556.9171,2906.277,130.21037,usp_silencer
1024.8494,3467.7805,128.03125,usp_silencer
1164.6279,2961.1929,128.03152,usp_silencer
1307.2557,2885.15,128.69547,usp_silencer
1352.4175,-371.37183,256.03125,taser
908.105,2046.4938,136.36632,usp_silencer
878.3931,2145.1304,136.36629,m4a1_silencer
792.9644,2187.0942,136.0313,m4a1_silencer
1428.0974,2880.5981,128.69547,m4a1
598.6996,3468.7107,163.8276,famas
422.6664,3151.0056,168.45941,ak47
1879.5441,1634.3104,161.2927,ak47
2266.7583,940.44965,155.75119,m4a1_silencer
2270.085,946.7878,155.91617,m4a1_silencer
2631.1482,-131.9483,146.03125,ak47
2077.884,-163.51996,99.39682,m4a1
