X,Y,Z,weapon
36.41573,1401.2216,104.03124,glock
276.22668,1735.3287,120.68292,glock
609.81195,1968.5454,136.03125,p250
691.2942,2459.6382,142.88748,inferno
409.94034,3015.4763,161.53886,glock
792.7558,2923.5798,145.27502,usp_silencer
1415.4736,1012.92334,158.20383,mac10
1525.4369,1112.6198,163.3985,mac10
627.2129,2604.093,193.03125,ak47
755.2547,2854.626,139.51956,galilar
1286.0474,449.26627,125.35582,ak47
378.08508,1932.6019,136.03122,glock
1233.2476,447.03137,116.93115,ak47
1474.748,962.2713,149.77795,ak47
1414.9044,1044.8771,162.19258,deagle
-241.58093,859.0813,22.193321,ak47
-394.84082,-49.812195,192.03125,ak47
1752.5697,1181.5615,167.53418,tec9
400.50922,1736.8251,188.06247,ak47
552.3292,2002.7156,136.03122,ak47
639.2449,2560.417,195.79387,ak47
1215.9543,3033.834,128.03165,ak47
1284.8857,587.3705,125.03125,ak47
1231.8849,587.7162,124.868645,ak47
1727.0308,-28.359802,132.03125,ak47
2386.6528,719.8843,171.19646,ak47
2351.7588,233.42479,124.20505,ak47
501.07132,2105.0415,140.13982,glock
1070.2959,2695.862,127.71991,glock
1094.4237,2658.052,132.73874,glock
9.400958,2670.7021,161.03125,glock
56.674526,2807.54,161.03125,glock
2094.8018,-449.3164,96.082504,galilar
2094.8018,-449.3164,96.082504,galilar
2387.4885,671.16815,167.53752,galilar
2070.6436,176.04027,160.03125,galilar
258.99026,1870.9636,131.81598,elite
799.8542,2367.3782,136.03146,galilar
1.5301949,2811.744,161.03125,ak47
1689.6239,1126.3818,159.99998,deagle
1767.0629,1167.4437,164.47108,deagle
45.03225,737.0636,80.03125,awp
86.57079,750.1743,80.29002,inferno
384.44147,2099.8142,139.30786,awp
37.582893,2543.6401,161.03125,galilar
670.2808,697.47485,106.03125,ak47
1187.1481,-344.52057,260.03125,mp5sd
859.55066,2393.9783,140.0843,ak47
24.739656,869.9503,80.03125,ak47
1471.2484,-360.09277,256.03125,ak47
2067.736,-177.13501,262.03125,ak47
1198.0562,262.56387,144.73392,deagle
2084.1646,154.28336,160.03125,ak47
223.21902,1506.1171,110.44475,glock
809.5366,2296.2988,136.03148,inferno
820.6969,2472.3696,136.03146,glock
486.81213,3439.6772,162.16454,glock
0.15193535,1352.2848,104.03125,ak47
669.70874,2667.1108,144.18875,galilar
535.60913,2816.2747,161.53123,galilar
18.021648,3215.288,161.03125,ak47
55.169945,2550.7278,161.03125,galilar
1231.9779,328.78198,128.03125,m4a1_silencer
281.30728,1911.9442,137.0847,ak47
743.37665,2327.8079,136.03146,ak47
534.10736,2780.5781,161.53123,ak47
71.03146,1006.10254,86.81736,ak47
1196.888,-341.98615,260.03125,ak47
1829.6774,-204.19135,260.03125,ak47
1392.1644,563.8566,117.87578,ak47
1272.9226,541.5863,122.32808,ak47
713.542,492.31876,93.546844,ak47
1410.8555,48.939274,132.03125,deagle
38.03765,1432.7817,151.96982,ak47
339.87167,1906.2812,137.03125,ak47
720.57355,2163.8083,136.03131,awp
636.61804,2959.511,201.03125,ak47
689.75244,2593.5957,142.88748,mac10
788.56976,2319.501,136.03146,ak47
740.65485,2546.7239,136.03146,awp
680.244,2956.5408,139.30704,hegrenade
48.061638,2545.8267,161.03125,awp
2345.6682,974.61633,160.05963,ak47
2247.4949,1197.4224,180.03125,ak47
2013.4265,-205.36505,258.7482,ak47
2344.5283,895.24725,156.08151,ak47
2497.1624,960.92957,170.40463,ak47
46.17205,727.0877,80.03125,ak47
47.058758,725.59674,80.03125,ak47
566.05634,2115.6194,140.13982,glock
331.90134,1816.1895,125.89324,inferno
654.0442,1951.8796,136.03127,glock
1956.0284,-182.03137,256.03125,tec9
