X,Y,Z,weapon
225.57431,536.16547,-254.01721,usp_silencer
-790.0251,-2436.4937,-171.41107,usp_silencer
-1161.2935,-2441.3992,-170.00012,usp_silencer
-120.95355,-581.26514,-217.96405,usp_silencer
-690.7978,-947.3534,-215.96875,usp_silencer
-798.4559,-875.381,-167.96875,m4a1_silencer
-785.33435,-914.2369,-167.96875,m4a1_silencer
-710.9864,-780.4247,-262.23322,m4a1_silencer
-870.8863,-205.07904,-167.88483,m4a1_silencer
91.9304,-2003.8975,-39.96875,mp9
-513.6028,-1621.8058,-39.968506,m4a1_silencer
-526.2516,-1453.3615,-66.0708,m4a1_silencer
-803.8733,289.5125,-165.69543,m4a1_silencer
-876.48065,184.66046,-173.02423,m4a1_silencer
-1054.3857,-1399.857,-166.28967,m4a1_silencer
-1572.9412,-2194.9143,-252.55756,m4a1_silencer
-704.8861,-838.2914,-263.96875,m4a1_silencer
-1966.2594,-1890.0364,-285.7882,awp
-1985.332,-1872.4078,-289.75134,awp
664.86066,-1654.8516,-258.64075,elite
-730.35187,-1454.5167,-167.96875,awp
-2340.915,100.27591,-167.96875,awp
-752.4319,85.39579,-165.96875,ak47
-598.99255,-1363.5756,-167.96875,m4a1_silencer
-625.11066,-1367.5332,-167.96875,m4a1_silencer
-497.12347,-1557.919,-39.96875,m4a1_silencer
-1244.8766,-1264.543,-167.96875,ak47
-1193.0363,-728.99255,-128.96875,awp
-481.19495,-753.0672,-259.56934,m4a1_silencer
-2051.3772,800.4459,-47.96875,m4a1_silencer
-1997.929,-610.6947,-167.96875,awp
-2526.2253,270.512,-167.96875,awp
-1203.8259,-726.757,-128.96875,awp
95.55998,-2031.341,-167.96875,mp9
-792.18933,-2440.549,-171.03845,awp
-505.64166,-1522.8547,-39.96875,famas
456.76453,670.024,-123.96875,m4a1_silencer
458.8336,668.714,-123.96875,m4a1_silencer
-857.3195,-1329.1735,-167.96875,mp9
-810.9418,-1794.4554,-151.9339,ak47
-1796.2499,-1862.59,-263.96875,ak47
-1212.4149,-733.0226,-128.96875,awp
-717.4206,-271.43115,-159.96875,awp
-810.8529,-213.26062,-161.63513,awp
563.9499,-1636.8379,-263.96875,usp_silencer
-620.77167,-1312.6288,-167.96875,usp_silencer
-604.35626,-1466.6771,-167.96875,usp_silencer
-1102.8627,-670.2449,-134.96875,usp_silencer
-621.50415,-1662.6521,-171.8338,usp_silencer
-2131.8896,655.09094,-143.42615,m4a1_silencer
-604.16473,-1348.2688,-167.96875,m4a1_silencer
-2514.0183,383.7601,-167.96875,m4a1_silencer
-819.1286,-62.030334,-168.38623,m4a1_silencer
-2540.0623,283.97385,-167.96875,m4a1_silencer
-756.47375,-2164.745,-179.96875,m4a1_silencer
-2337.5308,600.3607,-127.96875,m4a1_silencer
-855.9424,-382.35706,-164.20673,m4a1_silencer
-524.0891,-1627.1151,-39.968506,m4a1_silencer
-1829.8927,15.784781,-167.96875,m4a1_silencer
-952.01825,-703.7897,-263.96875,ak47
-650.02814,-842.29193,-262.8191,m4a1_silencer
-289.17334,-606.2343,-259.3905,m4a1_silencer
-278.20728,-628.17786,-254.87506,m4a1_silencer
-806.0125,-892.1479,-167.96875,ak47
-2008.0443,-647.8094,-167.96875,awp
-418.78345,375.7008,-108.48474,ak47
-801.11383,-2229.7263,-179.61511,awp
-789.1667,199.3358,-172.83508,m4a1_silencer
-782.45123,-22.200073,-166.7619,m4a1_silencer
87.21657,-2151.947,-39.96875,ak47
-1288.9183,-1169.0586,-167.96875,awp
-2278.076,-530.6846,-167.96875,awp
-1994.8308,-618.10626,-167.96875,m4a1_silencer
-2356.0435,-237.59644,-166.42041,awp
-510.3943,-2396.5461,-167.96875,m4a1_silencer
-204.40686,-2380.081,-165.9519,m4a1_silencer
-776.55304,-1309.8344,-167.96875,inferno
-1060.3899,-2460.044,-167.96875,m4a1
-551.24054,-1637.4213,-39.96875,m4a1_silencer
-2599.9888,535.96875,-159.96875,ak47
-464.42395,-2327.6543,-167.96875,awp
-2286.4744,-210.29651,-166.81885,m4a1
-2573.6733,467.86108,-167.82074,ak47
-2582.4097,474.6844,-167.80902,ak47
-745.0374,-2061.3281,-179.96875,usp_silencer
-736.1853,-2093.741,-179.96875,usp_silencer
-778.92255,-2089.571,-179.96875,usp_silencer
-708.8641,-1865.2705,-179.96875,usp_silencer
-1406.614,-2417.6426,-220.64801,usp_silencer
-794.9218,-331.1411,-167.7464,p250
-1048.3137,-2482.708,-167.96875,awp
-1070.4432,-520.0926,-263.96875,m4a1_silencer
-551.01636,-2302.1719,-172.97626,m4a1_silencer
-610.9995,-2383.7622,-168.38971,m4a1_silencer
103.12959,-804.62286,-167.96875,m4a1_silencer
-796.00415,-926.9322,-167.96875,m4a1_silencer
-1070.2312,-528.4767,-263.96875,m4a1_silencer
-755.17596,188.47507,-173.82727,m4a1_silencer
-2234.0615,17.229538,-167.96875,m4a1_silencer
-1521.4523,-2195.8005,-248.70343,m4a1_silencer
-609.8777,-922.84314,-222.54346,famas
1159.4755,-929.64105,-261.88684,famas
-1676.3555,-1262.098,-259.55566,m4a1_silencer
-970.21155,-763.97314,-263.96875,awp
-914.01666,-1382.821,-167.96875,m4a1_silencer
-864.29865,-412.01416,-162.83917,ak47
-2310.8008,387.58502,-167.96875,m4a1_silencer
-2609.4075,474.90414,-167.96814,m4a1_silencer
-1034.5941,-2448.38,-167.96875,awp
-773.83276,-1382.2131,-167.96875,m4a1_silencer
-785.8755,-1361.3547,-167.96875,m4a1_silencer
-454.7049,-2032.1658,-179.96875,m4a1_silencer
-704.9497,-866.8798,-250.52515,usp_silencer
-893.3855,-236.23389,-167.81561,usp_silencer
-136.06378,-442.6353,-167.65588,usp_silencer
-1260.9056,-1399.2927,-161.92883,usp_silencer
-1250.3141,-1341.8049,-167.66144,usp_silencer
-2025.1708,748.7473,-47.96875,mp9
-510.1256,-1506.2723,-39.96875,m4a1_silencer
-1535.9581,765.25134,-47.96875,mp9
300.38025,-407.39948,-165.06946,mp9
-393.4121,-1531.2411,-39.96875,m4a1_silencer
-244.02533,-2185.7969,-169.67664,m4a1_silencer
-334.16333,-2199.9827,-172.42188,m4a1_silencer
-589.15063,-2417.6501,-167.96875,m4a1_silencer
-1012.67883,-2434.9102,-167.96875,m4a1_silencer
1337.2936,-1243.6743,-167.96875,m4a1_silencer
-1305.5879,-1158.3407,-167.96875,usp_silencer
-1221.6423,-737.6909,-128.96875,hkp2000
-1863.1516,-179.52112,-168.76013,hkp2000
-754.6349,-2002.8344,-179.96875,m4a1_silencer
-1063.5192,255.6704,-169.13318,m4a1_silencer
-2154.8218,599.3004,-152.32239,m4a1_silencer
-1121.0002,192.50027,-171.93219,m4a1_silencer
-1165.006,162.57462,-170.82776,m4a1_silencer
-1164.8032,-689.03876,-167.96875,m4a1_silencer
-1696.4374,774.65674,-47.96875,m4a1_silencer
-455.22137,-2349.8652,-167.96875,m4a1_silencer
-454.0348,-2349.9143,-167.96875,m4a1_silencer
-1934.4121,21.026737,-167.96875,awp
-2310.6797,142.97954,-167.96875,awp
-2578.394,446.7298,-167.90125,m4a1_silencer
-835.23706,-1429.2809,-167.96875,m4a1_silencer
-757.46313,-2042.8895,-179.96875,m4a1_silencer
-552.55475,-2400.7698,-167.96875,m4a1_silencer
-663.414,-1730.253,-178.59387,m4a1_silencer
-717.46814,-1872.7957,-179.96875,m4a1_silencer
488.50067,-1700.5822,-256.2154,ak47
-1241.0247,-1252.6827,-167.96875,m4a1_silencer
-84.06604,-1918.5671,-167.96875,ak47
-1036.4719,-407.96875,-331.9807,m4a1_silencer
-819.869,-66.109985,-168.38184,m4a1_silencer
-1040.9839,350.66223,-367.96875,m4a1_silencer
-2359.5503,212.53577,-167.96875,awp
-2265.3452,-584.365,-167.96875,awp
-876.70264,-2544.6775,-35.96875,awp
-674.3618,-1650.1235,-170.58093,ak47
-521.54047,-1558.6832,-39.96875,m4a1_silencer
-509.48218,-1392.0979,-115.081665,m4a1_silencer
-421.1518,-1592.8677,-39.96875,m4a1_silencer
-2141.1292,717.6043,-129.53137,m4a1_silencer
-2523.2683,249.80858,-167.96875,m4a1_silencer
-1763.0681,-208.96838,-167.64789,m4a1_silencer
-1991.5775,-157.18158,-168.5174,m4a1_silencer
-2598.768,516.1861,-167.8385,m4a1_silencer
-667.65894,-329.20203,-159.96875,usp_silencer
-710.9329,-1088.1455,-187.89233,usp_silencer
-1177.5679,-262.29773,-55.96875,m4a1_silencer
-897.0736,-52.642395,-167.97516,ak47
-1933.6848,404.5855,-89.95282,fiveseven
-2030.8633,-619.4001,-167.96875,ak47
-2347.6812,-468.8354,-167.96875,ak47
-2195.6208,772.1965,-127.96875,fiveseven
-1827.9579,228.29706,-164.97833,fiveseven
-75.69745,-1950.919,-167.96875,m4a1_silencer
-777.0951,-1554.1552,-167.96875,inferno
-767.4144,-1598.4744,-167.96875,m4a1_silencer
751.13873,-1054.1082,-254.2326,m4a1_silencer
-1035.7758,-2336.9465,-167.96875,ak47
-831.1408,-44.04706,-168.37079,m4a1_silencer
-1606.744,686.157,-47.96875,ak47
-1133.8429,-172.93457,-54.8125,m4a1_silencer
-2087.6316,816.68225,-43.96875,awp
-1534.4688,214.67456,-166.96875,ak47
89.57798,-398.33173,-177.65704,awp
-1218.7062,114.26367,-167.29773,awp
-2599.992,535.96875,-159.96875,ak47
-520.60974,-1071.475,-167.96875,awp
-391.4037,-2226.8123,-172.581,awp
-1088.4854,-1516.264,-161.26752,ak47
-1656.0989,-833.0088,-165.96875,m4a1_silencer
-20.640747,-1418.0563,-167.96875,m4a1
-1919.7764,629.96875,-167.96875,ak47
-1636.8524,565.308,-167.96875,fiveseven
-1639.8522,591.00336,-167.96875,fiveseven
-2047.2211,478.46326,-161.58362,usp_silencer
-1862.6796,-664.31506,-167.96875,awp
-90.85443,-683.83527,-216.61859,m4a1_silencer
-47.096985,-1595.4908,-167.96875,m4a1_silencer
-270.92017,-670.9676,-253.96875,m4a1_silencer
-22.070923,-1432.7606,-167.96875,m4a1_silencer
-1876.1146,-319.22424,-167.96875,m4a1_silencer
-498.81622,-1616.8165,-39.96875,usp_silencer
141.27083,-1717.009,-167.96875,elite
-136.22443,-2006.0878,-167.96875,elite
269.8903,444.75473,-257.2475,usp_silencer
-510.95337,-1501.9679,-39.96875,usp_silencer
81.17177,-2292.8206,-39.96875,elite
-785.6631,-895.9625,-167.96875,mp9
-901.478,-305.02118,-167.11237,m4a1_silencer
-1182.1943,-697.07526,-167.96875,m4a1_silencer
-1184.7943,-692.4833,-167.96875,usp_silencer
-1182.3246,-683.6038,-167.96875,m4a1_silencer
-991.3807,-78.88556,-167.96875,m4a1_silencer
-988.93304,-74.966675,-167.96875,m4a1_silencer
-2258.0503,-57.48822,-167.91626,m4a1_silencer
-2336.6055,87.40293,-167.96875,m4a1_silencer
-856.28503,196.46953,-172.80621,m4a1_silencer
-711.3747,-2130.4917,-179.96875,m4a1_silencer
-736.4617,-2099.6833,-179.96875,m4a1_silencer
-544.77386,-1448.6239,-69.86084,ak47
-506.5874,-1614.5006,-39.96875,ak47
-512.71606,-1472.4498,-50.80011,ak47
-942.1862,-750.3523,-261.94678,ak47
-688.7028,-824.6413,-263.96875,ak47
-688.2643,-835.2264,-263.96875,ak47
-1170.7106,-695.29736,-167.96875,m4a1_silencer
-780.174,-1963.454,-179.96875,m4a1_silencer
-529.7318,-985.54364,-167.96875,ak47
-529.8482,-986.85284,-167.96875,ak47
-701.89905,-1048.6215,-207.6543,ak47
-1182.2454,-587.7757,-167.96875,awp
-580.03125,-860.03125,-167.96875,m4a1_silencer
-1226.0883,-1257.5349,-167.96875,m4a1_silencer
-1452.3372,-2241.98,-241.44025,ak47
-1452.5891,-2241.5532,-241.47693,ak47
356.9771,-1529.0,-190.45294,ak47
-437.59943,-1610.5806,-39.96875,ak47
-744.2286,-2078.964,-179.96875,awp
-2499.8862,247.93831,-167.96844,m4a1_silencer
-504.19275,-1487.9501,-39.96875,m4a1_silencer
-2290.1003,-621.04504,-167.96875,awp
-2329.1038,769.9525,-126.472595,ak47
-381.52063,-2394.9688,-163.96875,ak47
-1653.0599,-2157.3977,-258.15088,m4a1_silencer
-1637.7981,-2099.7197,-259.60596,hegrenade
554.9955,-1556.0314,-263.96875,ak47
160.48018,-1519.1667,-175.96875,ak47
146.0594,-1514.4841,-175.96875,m4a1_silencer
-518.0711,-1558.3666,-39.96875,ak47
-726.881,-2132.4197,-179.96875,awp
-870.88354,-2536.358,-35.96875,m4a1_silencer
-56.865784,-1973.7222,-167.96875,m4a1_silencer
104.44369,-1982.6383,-39.96875,m4a1_silencer
-300.3919,-2174.036,-173.2273,cz75a
-1269.2129,-1051.3392,-167.96875,awp
-704.04767,-894.18005,-236.875,hegrenade
-971.75385,-2456.9456,-167.96875,usp_silencer
-1298.9697,-989.89966,-167.96875,hkp2000
-1831.9739,9.320215,-167.96875,usp_silencer
-2030.5483,418.63565,-159.96875,hkp2000
-1192.0693,-568.6187,-167.96875,aug
-627.182,-1335.9879,-167.96875,m4a1_silencer
-1077.7051,-1351.8372,-166.62122,m4a1_silencer
-529.9758,-1478.6321,-45.85431,m4a1_silencer
-1474.9965,180.06787,-165.96875,aug
-794.36017,-2224.1929,-179.96875,aug
-798.3929,-2225.8928,-179.96875,aug
-874.1272,-2322.263,-169.01227,aug
-783.43756,290.93433,-164.7594,aug
-948.35956,-2575.1838,-167.96875,ak47
-1037.8773,-2512.583,-167.96875,ak47
-916.957,-2492.9062,-97.96875,ak47
-802.372,-2244.2742,-178.85669,ak47
-466.65686,-1856.372,-179.5102,ak47
-1750.9626,803.9538,-47.96875,awp
-332.555,-2215.5676,-170.96503,aug
-1101.0582,124.10223,-170.37549,ak47
-1543.9271,219.13872,-167.94958,ak47
-1256.8502,-1479.721,-153.95795,usp_silencer
-763.38947,119.13506,-171.36017,hkp2000
-1261.3422,-1474.0269,-154.24255,usp_silencer
-1124.4684,-1329.4829,-167.80762,usp_silencer
-764.7831,-1779.4125,-179.96875,hkp2000
-729.36035,-2167.6921,-179.96875,famas
63.48763,-1931.5898,-167.96875,famas
-728.60974,-2173.135,-179.96875,famas
-29.064941,-1975.5171,-167.96875,famas
-512.18396,-1544.0131,-39.96875,famas
37.25185,-1938.5549,-167.96875,famas
-1081.7782,-2260.6338,-167.96875,mp9
-978.71936,-2367.9587,-167.96875,mp9
-985.3493,-2349.026,-167.96875,mp9
-1184.456,-538.3,-167.96875,m4a1_silencer
-1187.8693,-620.5774,-167.96875,hkp2000
-772.3466,-388.49536,-167.85406,m4a1_silencer
-879.72815,-405.6908,-161.88068,aug
235.6163,334.74994,-255.74438,m4a1_silencer
-632.3357,-861.83655,-253.04675,m4a1_silencer
-642.865,-871.2191,-248.35547,m4a1_silencer
-1555.5338,809.09265,-47.96875,ak47
-991.3256,-1516.687,-165.64453,m4a1_silencer
-1169.0565,-975.2119,-167.96875,m4a1_silencer
1381.7855,-1264.4143,-167.96875,ak47
-60.95862,-696.0363,-210.46277,m4a1_silencer
82.86576,-751.929,-173.75073,m4a1_silencer
116.97937,-758.51917,-167.96875,m4a1_silencer
-769.79584,-2167.9258,-179.96875,awp
-527.3435,-1000.7556,-167.96875,ak47
-1176.8843,-1444.6145,-162.19708,m4a1_silencer
82.215004,-1918.4054,-39.96875,ak47
-181.01312,-1996.8883,-167.96875,mp9
-394.7439,-547.0629,-273.0827,deagle
-755.8847,292.96808,-163.4898,aug
-1249.9896,124.67468,-167.56372,deagle
-1493.8032,-983.8518,-201.35376,hkp2000
-1577.8433,-1369.1348,-263.8568,hkp2000
-870.08203,-389.4181,-163.53058,m4a1_silencer
-1116.4763,783.2745,-79.96875,m4a1_silencer
-2303.2615,-145.62329,-165.56873,m4a1_silencer
-958.1691,-2579.3271,-167.96875,usp_silencer
-1229.6248,-958.4217,-167.96875,usp_silencer
70.77661,-2048.5205,-167.96875,usp_silencer
-1161.4666,-2385.4058,-173.76764,usp_silencer
-778.6139,-1454.7665,-167.96875,glock
143.60425,-2044.8386,-167.96875,mp9
140.93312,-2038.4248,-167.96875,mp9
-509.14954,-1493.9135,-39.96875,mp9
142.10136,-2038.7368,-167.96875,mp9
-38.891785,-2086.076,-167.96875,usp_silencer
-238.49316,-692.08435,-246.2951,mp9
