X,Y,Z,weapon
-1023.93494,1.684759,-367.96875,glock
-479.09808,-1998.8662,-179.96875,glock
-121.65961,-1425.4403,-72.175354,ak47
87.148,-2113.9475,-39.96875,ak47
-765.32275,-208.85693,-159.96875,tec9
-1299.2407,141.89456,-166.81122,m4a1_silencer
500.22272,-283.77466,-160.09064,ak47
225.29836,-189.59344,-167.60815,hegrenade
-805.75037,-879.64264,-167.96875,m4a1_silencer
-1563.6345,-1453.6794,-263.2379,ak47
177.53534,-265.69934,-79.9375,awp
-1086.0717,-666.847,-134.96875,ak47
-1247.6306,-1301.409,-167.96875,ak47
-745.3427,-1636.1421,-169.1828,ak47
-767.33405,-1605.8074,-167.96875,ak47
-317.5332,-1562.3807,-167.96875,ak47
377.86905,-800.5129,-164.27765,awp
468.3328,-481.8783,-159.96875,galilar
-1471.9692,691.029,-47.96875,awp
-339.74518,-1531.5391,-167.96875,galilar
-267.86194,-1625.236,-167.96875,galilar
-314.33972,-1533.4294,-167.96875,galilar
573.5121,-1561.8169,-263.96875,galilar
189.19951,-1454.3965,-175.96875,ak47
-700.3933,-1740.0698,-179.57556,ak47
-485.9746,-2357.8215,-167.96875,galilar
-792.1933,-1315.3673,-167.96875,ssg08
354.10806,-1686.5071,-189.0191,galilar
-2357.6404,14.209225,-157.8515,galilar
-1744.2639,482.0368,-168.85529,ak47
-2176.9292,804.6915,-126.000854,ak47
-1148.4817,495.58612,-79.96875,galilar
-2504.34,325.65662,-167.96875,ak47
70.54277,-2287.6177,-39.96875,p250
37.902786,-2230.5051,-39.96875,p250
-1188.882,753.94293,-79.96875,tec9
-1838.5682,681.4587,-47.96875,deagle
70.005615,-1716.4071,-167.96875,inferno
125.69831,-2343.4734,-39.96875,awp
139.94966,-2286.0098,-39.96875,awp
418.3205,-188.71362,-166.37305,awp
-738.06866,-1143.4719,-167.96875,galilar
-699.08057,-950.2382,-215.96875,ak47
149.56232,-2064.5752,-39.96875,galilar
-1827.2689,499.07477,-167.96875,tec9
-883.23267,-133.70386,-168.00537,tec9
-2496.8423,388.62088,-167.96875,tec9
-2534.4197,380.7497,-167.96875,tec9
-2271.0664,496.0691,-167.96875,tec9
-217.44104,-1608.8485,-167.96875,m4a1_silencer
-341.67908,-1526.6859,-165.85913,ak47
143.03546,-1446.2261,-175.96875,glock
-81.253784,-1601.3461,-167.96875,p250
-891.7837,-2358.6763,-167.96875,p250
-888.9289,-564.95966,-263.96875,mac10
-747.18384,-544.6667,-265.46466,mac10
379.94342,-861.4382,-164.38068,ak47
-225.62604,-456.05225,-166.65387,galilar
-1233.6656,-1302.3092,-167.96875,galilar
-142.9668,-1488.7028,-69.175354,galilar
-496.169,-1449.7522,-68.95825,galilar
67.95043,-2021.6593,-39.96875,ak47
-5.771179,-1938.413,-39.96875,ak47
-1994.341,304.27045,-159.96875,ak47
-2511.7744,333.32672,-167.96875,awp
-2510.8162,356.51498,-167.96875,awp
-1658.1263,702.7664,-47.96875,ak47
-1583.6897,29.932295,-167.98474,ak47
-140.42218,-1423.0835,-72.175354,ak47
-131.48114,-1441.0841,-72.175354,ak47
-266.58667,-1608.2838,-167.96875,ak47
72.116776,-2088.2488,-39.96875,ak47
113.48813,-1430.5575,-175.96875,ak47
-706.65137,-947.86523,-215.96875,awp
115.23309,-1691.7919,-167.96875,ak47
84.03308,-2105.9817,-39.96875,ak47
75.774796,-2205.5017,-39.96875,ak47
-790.0631,-1026.3746,-167.96875,ak47
16.231737,-2115.5862,-39.96875,ak47
-1237.5315,-1286.1978,-167.96875,ak47
-895.8416,-405.41382,-160.52106,ak47
-1082.104,108.588844,-169.34125,ak47
244.26587,-358.72266,-166.4237,ak47
-1897.169,596.5191,-167.96875,p250
198.90074,-302.0558,-167.52197,ak47
226.35623,-1468.2881,-175.96875,ak47
-356.36456,-1577.0626,-167.96875,ak47
-359.96863,-1504.0312,-163.97125,ak47
290.74054,-1507.2792,-175.96875,ak47
-290.1183,-554.68146,-255.73505,glock
419.04184,-468.3286,-165.93304,ak47
145.52873,-1630.8943,-168.07916,ak47
-380.15308,-1728.9055,-167.96875,glock
69.281715,-2109.4019,-39.96875,glock
-133.18665,-2124.91,-167.96875,glock
84.874504,-2133.3164,-39.96875,glock
-1820.5505,203.7133,-166.83014,ak47
-1784.735,681.63184,-47.96875,galilar
-1706.6158,834.4634,-47.96875,galilar
-2331.3596,-478.6584,-167.96875,mac10
-1794.788,720.7328,-47.96875,galilar
184.93565,-614.4539,-164.14185,ak47
-2155.4153,143.13058,-159.96875,mac10
-2101.4526,81.47834,-159.96875,mac10
-2098.1062,681.2051,-43.96875,galilar
-403.3487,858.6254,-83.96875,galilar
-525.21875,-772.158,-256.4101,m4a1_silencer
28.91682,-1492.0273,-172.46027,ak47
-288.9123,-1561.7429,-167.96875,ak47
-1764.7389,212.81577,-165.71875,mac10
-757.56683,-99.59119,-163.2367,ak47
