X,Y,Z,weapon
933.7057,-2030.662,-415.96875,knife_widowmaker
1048.4438,-1883.4159,-415.96875,knife_m9_bayonet
730.5852,-1999.9673,-415.96875,knife_butterfly
963.616,-1921.6517,-415.96875,knife_butterfly
1202.758,-45.81311,-415.96875,usp_silencer
1517.0593,-2007.656,-639.46875,usp_silencer
1104.831,-897.06726,-767.96875,elite
1094.7969,-885.01,-767.96875,elite
1391.9296,-726.28973,-654.8276,usp_silencer
903.36255,-1805.1624,-415.96875,mp9
815.9686,-1552.4445,-415.96875,mp9
780.7947,-309.9381,-127.96875,famas
815.96875,-1552.0314,-415.96875,mp9
799.5868,-1559.2926,-415.96875,mp9
1211.147,-6.916931,-415.96875,awp
121.81096,-205.46313,-415.96875,famas
720.4296,-243.28241,-639.96875,m4a1_silencer
289.6734,-929.9451,-391.96875,m4a1_silencer
422.9912,-1239.4656,-415.96875,m4a1_silencer
1344.573,-523.1614,-239.96875,usp_silencer
879.8053,-1346.5684,-415.96875,m4a1_silencer
1032.6724,-344.3728,-127.96875,m4a1_silencer
-190.92566,-586.0485,-415.96875,m4a1_silencer
621.95715,-1232.8262,-415.96875,m4a1_silencer
614.19635,-999.2435,-415.96875,m4a1_silencer
802.7258,-1258.4697,-415.96875,m4a1_silencer
895.1729,-1392.8552,-415.96875,m4a1_silencer
898.7676,-1398.2684,-415.96875,m4a1_silencer
834.7092,-2168.1199,-415.96875,m4a1_silencer
964.8117,-280.03162,-127.96875,ak47
1487.0573,-1711.3088,-415.96875,m4a1_silencer
673.3776,-224.69812,-415.96875,ak47
692.74615,-191.24927,-415.96875,ak47
700.62054,-175.69458,-415.96875,ak47
1174.9974,21.180588,-415.96875,m4a1_silencer
760.08466,-2393.7302,-415.96875,awp
195.02452,-1184.1569,-415.96875,ak47
197.28006,-1289.0089,-775.96875,ak47
440.1117,-1393.1261,-415.96875,ak47
329.2308,-705.7569,-415.96875,m4a1_silencer
344.18082,-693.15533,-415.96875,m4a1_silencer
362.70795,-677.89655,-415.96875,m4a1_silencer
511.61813,-434.48474,-415.96875,m4a1_silencer
944.88947,-963.0346,-415.96875,m4a1_silencer
467.83047,-1153.4858,-251.96875,m4a1_silencer
697.4631,-1317.6573,-415.96875,mp9
687.2836,-1388.637,-415.96875,mp9
840.3964,-1377.4927,-415.96875,m4a1_silencer
830.5305,81.645454,-639.96875,awp
907.8829,-983.5525,-767.96875,awp
931.46826,-1792.7491,-415.96875,usp_silencer
1320.0219,-1365.5363,-415.96875,usp_silencer
1210.6156,16.4621,-415.96875,hkp2000
-424.9704,-936.6249,-415.96875,mp9
-88.02057,-714.18414,-415.96875,fiveseven
-4.756775,-727.74756,-415.96875,fiveseven
577.14014,-1079.9196,-415.96875,mp9
51.71129,-883.8798,-415.96875,fiveseven
1321.5157,-391.27716,-127.96875,aug
1701.6965,-1655.8484,-415.96875,m4a1_silencer
913.4024,-1621.7219,-415.96875,mp9
691.9072,-207.92981,-415.96875,ak47
1851.0974,-1715.7059,-415.96875,m4a1_silencer
948.77,-1747.3096,-415.96875,m4a1
894.8487,-823.2258,-410.8045,galilar
485.4035,-1356.3851,-415.96875,m4a1
909.8316,-923.158,-639.96875,ak47
1583.1069,-2384.143,-559.96875,m4a1
608.57965,-586.4104,-415.96875,m4a1_silencer
527.2399,-599.6029,-399.96875,m4a1_silencer
704.14984,692.0777,-479.96875,m4a1_silencer
1181.8949,-1514.508,-639.96875,usp_silencer
865.0626,-731.124,-399.9685,m4a1_silencer
860.81036,-718.51904,-399.96844,m4a1_silencer
687.92224,-1734.9105,-415.96875,m4a1_silencer
1483.5966,-1810.7043,-227.96875,m4a1_silencer
426.14404,-1605.5729,-415.96875,famas
782.0898,-580.06995,-399.96838,famas
783.7891,-1411.3606,-415.96875,m4a1_silencer
980.4143,-637.9316,-127.96875,mp9
204.9431,-354.85388,-415.96875,mp9
1235.5145,-602.5471,-239.96875,awp
617.6095,-1600.5654,-415.96875,famas
711.337,-1488.3751,-415.46875,ak47
65.87903,-1359.8312,-415.96875,ak47
438.08832,-878.71924,-391.96875,awp
593.5529,192.61967,-414.96875,m4a1_silencer
426.14542,183.25769,-415.96875,m4a1_silencer
