X,Y,Z,weapon
908.7096,-1985.7358,-415.96875,knife_karambit
960.1516,-1987.2867,-415.96875,knife_m9_bayonet
955.93365,-2155.165,-415.96875,knife_m9_bayonet
991.4107,-1857.6173,-415.96875,knife_m9_bayonet
954.61536,-1934.1624,-415.96875,knife_m9_bayonet
711.659,-2429.064,-415.96875,p250
826.95197,-2342.7668,-415.96875,deagle
1095.7614,-1574.5013,-639.96875,ak47
765.4416,-927.3597,-771.96875,ak47
533.1498,322.03162,-371.96875,ak47
753.08704,-871.1787,-771.96875,ak47
359.0532,-424.5786,-639.96875,ak47
150.2485,-708.8915,-415.96875,galilar
96.32187,-711.913,-415.96875,galilar
962.4671,-1616.3866,-415.96875,ak47
549.5457,-810.62396,-399.96875,ak47
700.122,-795.26,-399.9687,ak47
597.03705,-2403.6685,-415.96875,ak47
777.3547,-2446.4104,-415.96875,ak47
1728.4747,-1714.8859,-415.96875,mac10
1226.4115,-2299.1982,-415.46875,hegrenade
1002.48956,-1769.7084,-415.96875,ak47
705.6906,-1465.4708,-415.46875,ak47
831.45544,-1335.8369,-415.96875,ak47
778.4603,-1393.7931,-415.96875,ak47
926.5878,-1470.0696,-415.96875,m4a1_silencer
1213.3104,-467.88947,-415.96875,ak47
315.79993,22.488596,-415.96875,deagle
33.187096,-1550.5564,-20.067932,ak47
248.82117,-2018.1985,-319.96875,ak47
464.28134,-843.1397,-391.96875,ak47
721.007,-1556.0413,-415.96875,ak47
719.6245,-1557.8835,-415.96875,ak47
755.5733,-1828.4075,-407.96875,galilar
106.25072,-960.4708,-415.96875,awp
406.22083,-873.3336,-391.96875,glock
59.01519,-1354.7529,-415.96875,ak47
433.8888,-956.60284,-391.96875,ak47
926.1973,-872.591,-767.96875,ak47
1041.851,-1369.9531,-607.96875,ak47
1112.2877,-1035.8158,-767.96875,m4a1_silencer
143.43976,-298.5119,-415.96875,glock
378.19003,-2013.9144,-415.96875,glock
737.00226,-1943.4756,-415.96875,glock
612.89233,-1291.1211,-769.96875,glock
445.04218,-1150.5186,-765.96875,glock
278.95654,-1292.6752,-415.7069,galilar
-38.30298,-1196.9166,-415.96875,galilar
36.75604,-1022.5159,-415.96875,mac10
350.90906,-1028.4386,-391.96875,deagle
161.34972,-2172.0247,-415.96875,deagle
205.98715,-607.1898,-415.96875,ak47
210.17226,-605.9138,-415.96875,ak47
749.33496,-1968.5278,-415.96875,ak47
1464.8396,-2442.1606,-515.18884,galilar
1016.15967,-1569.7673,-639.96875,ak47
427.1986,-1279.9597,-415.96875,ak47
443.15582,-1224.7429,-415.96875,ak47
224.67296,-1091.624,-415.96875,ak47
328.11182,-946.4231,-391.96875,ak47
47.210197,-464.9071,-415.96875,ak47
451.5569,-1079.856,-391.96875,ak47
199.23227,-1521.1848,-767.46875,ak47
452.20602,-1679.9655,-666.49176,ak47
439.38046,-1679.9683,-675.0421,ak47
623.68115,-1430.2417,-607.96875,ak47
439.48172,-990.8358,-391.96875,ak47
413.087,-1244.6558,-415.96875,ak47
510.52838,-1249.6411,-415.96875,ak47
350.5007,-1005.4518,-391.96875,ak47
56.041286,-1345.9008,-415.96875,ak47
-43.59546,-2034.8451,-415.96875,ak47
-619.06647,-1332.5217,-415.96875,awp
360.22067,-984.0033,-391.96875,ak47
922.20026,-1556.6409,-415.96875,ak47
394.99802,358.74615,-421.0227,tec9
175.45766,-1130.6785,-415.96875,galilar
957.5102,-599.43634,-414.96875,ak47
907.84973,-577.4363,-415.96875,ak47
-332.31494,-1000.23663,-415.96875,ak47
446.32733,-623.72833,-415.96875,ak47
732.7372,-1195.243,-415.96875,ak47
748.5859,-1183.2108,-415.96875,ak47
365.603,-1457.1371,-415.96875,ak47
384.17386,-1251.7302,-415.96875,ak47
362.51492,-998.197,-391.96875,mac10
836.7571,-612.0774,-399.96826,m4a1_silencer
389.18982,-656.48157,-415.96875,ak47
-35.296265,-1286.8406,-415.96875,ak47
288.6265,-1293.4324,-415.96875,ak47
409.87125,-838.77167,-391.96875,ak47
209.83443,-1528.6764,-35.704773,ak47
275.46188,-1082.5205,-392.32117,ak47
869.1443,-669.54944,-399.96863,ak47
1314.7594,-406.0183,-127.96875,ak47
916.5436,-1469.5249,-415.96875,ak47
297.6733,-1287.3119,-415.96875,ak47
783.971,-1403.3356,-607.96875,ak47
746.2259,-589.2324,-767.96875,ak47
547.2482,-1259.1047,-415.96875,tec9
716.6443,-565.68445,-767.96875,ak47
788.741,-1294.6072,-415.96875,glock
251.2716,-1064.4991,-408.448,glock
464.50778,-851.7823,-391.96875,glock
864.5666,-1663.2255,-415.46875,taser
328.76236,-618.6847,-415.96875,ak47
331.50854,-468.8985,-415.96875,ak47
81.82897,-727.0903,-415.96875,ak47
918.1514,-397.5631,-639.96875,ak47
1133.3076,-1148.5918,-722.23456,ak47
960.0626,-2478.1218,-415.96875,galilar
1372.4534,-2204.825,-415.96875,hegrenade
1487.9717,-2170.7097,-415.96875,ak47
1678.187,-461.5246,-351.96875,m4a1_silencer
482.77026,-725.08276,-405.23816,m4a1_silencer
499.92065,-938.34784,-411.6388,deagle
478.84967,-858.1735,-391.96875,deagle
1035.2512,-1848.1389,-415.96875,glock
788.1781,-1610.1504,-239.96875,deagle
870.40753,-1608.0135,-415.46875,ak47
423.25604,-1221.6504,-415.96875,ak47
702.96014,-588.27,-399.96863,glock
396.3741,-1329.9004,-767.96875,ak47
