X,Y,Z,weapon
-810.5732,-98.28833,11776.031,usp_silencer
-29.807983,1.6509846,11776.031,elite
-1051.1735,-401.23755,11776.031,usp_silencer
-1479.7544,575.1731,11874.031,fiveseven
-2226.5083,687.81946,11744.031,hegrenade
-2281.1921,866.0016,11744.031,hegrenade
-1466.2888,657.3168,11874.031,m4a1_silencer
-2380.5457,639.9484,11744.031,m4a1_silencer
-1207.491,641.0468,11776.031,m4a1_silencer
-859.44696,839.18,11776.031,m4a1_silencer
-890.82043,-348.88635,11776.031,m4a1_silencer
-997.62897,-787.771,11648.031,ak47
-1047.968,-1294.0312,11784.031,m4a1_silencer
-1029.8628,-1308.0308,11784.031,m4a1_silencer
-1134.4684,-1109.4677,11776.031,m4a1_silencer
31.04863,-847.1921,11781.809,m4a1_silencer
-991.7622,-1359.012,11777.853,m4a1_silencer
-925.2147,9.979892,11776.031,ak47
-919.74994,28.439878,11776.031,ak47
-919.6783,28.625013,11776.031,ak47
-254.37048,-351.84882,11776.031,ak47
-93.15759,-1320.753,11776.031,m4a1_silencer
-1385.9495,379.85925,11776.031,m4a1_silencer
-195.78217,-102.60925,11776.031,ak47
-204.90479,-101.7392,11776.031,ak47
-165.71661,37.399414,11776.031,ak47
-1550.9082,635.46936,11874.031,m4a1_silencer
-1440.4194,849.9844,11776.031,ak47
-1443.2316,794.00665,11776.031,ak47
-1396.0211,555.95575,11874.031,ak47
-1780.467,549.5616,11776.031,ak47
-323.68066,-689.92535,11826.031,m4a1_silencer
-838.1827,-622.24756,11776.031,ak47
-1033.5127,-1074.4836,11776.031,ak47
-525.54504,-258.66248,11776.031,m4a1_silencer
-926.1437,36.287716,11776.031,m4a1_silencer
-866.3062,-140.71655,11776.031,m4a1_silencer
-1026.7955,-691.42596,11890.0625,ak47
-1386.402,399.322,11776.031,ak47
-1332.8645,289.7905,11776.031,ak47
-87.93103,-945.0924,11776.031,ak47
-79.35425,-1007.5424,11776.031,ak47
-1045.6808,-1298.9745,11784.031,m4a1_silencer
-361.16626,-650.39905,11879.031,m4a1_silencer
-1513.9027,544.207,11874.031,ak47
-1736.5842,1079.9573,11752.989,m4a1_silencer
-1807.454,1079.5187,11752.936,m4a1_silencer
-849.56976,224.14334,11864.531,usp_silencer
-514.5289,-539.42084,11776.031,usp_silencer
-988.75195,-469.49365,11492.292,mp9
-982.09344,-461.80225,11496.031,mp9
-1007.65405,-471.9677,11488.031,ak47
-2217.5479,323.3465,11744.031,p250
-328.56317,-505.4439,11776.031,deagle
-269.9787,-211.7981,11776.031,ak47
-213.05682,-245.65466,11776.031,ak47
-91.85272,-423.50012,11830.031,ak47
-1383.9612,405.90594,11776.031,ak47
-1380.8291,399.18497,11776.031,ak47
-1437.7618,597.58276,11874.031,m4a1_silencer
-1993.664,20.470854,11868.031,ak47
-1398.2855,875.7902,11776.031,ak47
-999.4841,-1183.7782,11769.592,ak47
-959.87805,-1291.1638,11756.689,ak47
-1022.3234,-1221.5833,11776.031,ak47
-269.23193,-1395.7958,11776.031,m4a1
-896.38806,-1313.3953,11746.031,ak47
-800.9252,-557.0118,11788.119,hegrenade
-607.22876,-1290.2329,11664.29,ak47
-618.23914,-1295.2056,11660.62,ak47
-374.1123,-630.04944,11879.031,ak47
-421.7173,-518.26776,11776.031,awp
-589.7869,-530.2353,11799.031,m4a1_silencer
-455.20667,-523.8928,11776.031,awp
-1388.1173,936.336,11776.031,ak47
-648.08887,-768.7438,11864.0625,m4a1
-1930.9358,552.1172,11776.031,m4a1_silencer
-48.499084,36.69323,11776.031,awp
-574.147,-151.69012,11776.031,ak47
-1543.1504,634.84094,11874.031,m4a1_silencer
-1954.9298,420.99356,11784.031,awp
-1147.227,-858.11163,11776.031,m4a1_silencer
-119.90253,-1000.4082,11776.031,m4a1_silencer
-612.3291,-644.69617,11776.031,m4a1_silencer
-291.24762,-639.1317,11826.031,ak47
-1530.3771,659.28326,11874.031,m4a1_silencer
-1406.344,530.6046,11874.031,m4a1_silencer
68.801384,-804.72504,11786.594,m4a1_silencer
-1020.285,-1221.9473,11776.031,awp
-2420.5464,175.68076,11552.031,famas
-2268.528,-633.3324,11782.482,usp_silencer
-1128.6934,-856.6728,11776.031,mp9
-462.44757,-1042.4729,11776.031,mp9
-956.06866,-1246.5292,11746.031,mp9
-1120.2827,-797.8958,11776.031,p250
-2104.2583,921.8886,11790.919,awp
-891.44556,-529.02985,11776.031,m4a1_silencer
-365.26654,-686.86914,11774.64,m4a1_silencer
-841.314,-788.96985,11776.031,m4a1_silencer
-274.6577,-899.52673,11776.031,usp_silencer
-993.6868,-764.3662,11648.031,m4a1_silencer
-463.1601,-438.13513,11776.031,mp9
-503.96808,-446.44128,11776.031,mp9
-1165.3916,-910.09076,11776.031,m4a1_silencer
-272.90015,-592.8319,11774.031,mp9
-137.74475,-365.97186,11831.031,awp
-219.92694,-14.504456,11873.031,awp
-209.94348,-574.1203,11774.031,m4a1_silencer
-264.37946,-823.6487,11776.031,ak47
-102.54718,-999.83594,11776.031,ak47
-1910.9806,-1196.0305,11544.525,awp
-667.16986,-533.51874,11799.031,m4a1_silencer
-682.4389,-423.60657,11501.934,m4a1_silencer
-927.64087,-38.63965,11776.031,awp
-1379.8944,397.13678,11776.031,mp9
-230.43793,4.014593,11873.031,awp
-93.4129,-1333.1823,11776.031,deagle
-98.13678,-1359.4089,11776.031,deagle
-247.60553,-1482.3445,11776.031,deagle
-73.30249,-133.23016,11776.031,m4a1_silencer
-74.721436,-278.8119,11776.031,m4a1_silencer
-2157.7393,311.78137,11776.031,elite
-2168.022,323.873,11776.031,elite
-2175.2283,279.31226,11776.031,elite
-645.62744,-392.89636,11492.031,usp_silencer
-673.7869,-109.4975,11776.031,usp_silencer
-593.8887,-1110.0596,11776.031,fiveseven
-926.3986,-555.85626,11776.031,m4a1_silencer
-127.6131,127.10863,11776.031,awp
-997.9982,-639.8493,11611.031,m4a1
-871.0452,-771.39496,11588.881,fiveseven
-919.0721,0.7588055,11776.031,m4a1
-934.6164,-9.502319,11776.031,m4a1
-924.90515,6.1245337,11776.031,m4a1
-2475.007,113.024216,11552.031,ak47
-2466.9224,128.7323,11552.031,ak47
-1093.6079,-1165.2985,11776.031,ak47
-2059.9233,-38.48297,11552.031,ak47
-1887.8239,631.5268,11776.031,m4a1_silencer
-992.8535,-925.11414,11648.031,ak47
-726.84607,-156.82776,11488.031,ak47
-1919.3018,-1212.0935,11548.686,usp_silencer
-322.71094,-1144.1097,11764.549,ak47
-470.2293,-1318.4269,11709.956,ak47
-604.74414,-1098.7958,11776.031,m4a1_silencer
-1056.5933,420.99667,11776.031,m4a1_silencer
-232.14734,3.0951154,11873.031,m4a1_silencer
-213.88446,-0.03125,11873.031,m4a1_silencer
-64.715515,-297.5525,11776.031,m4a1_silencer
-2515.2676,257.31805,11744.031,inferno
-1135.2966,-727.1797,11776.031,mp9
-1385.9187,884.5852,11776.031,m4a1
-345.19653,-344.46362,11776.031,ak47
-1508.9628,775.94037,11776.031,m4a1_silencer
-2026.4741,-218.01855,11552.031,m4a1
-1451.5643,512.3149,11874.031,m4a1
-2307.2263,511.8776,11744.031,m4a1
-2311.1372,551.4562,11744.031,m4a1
-585.62775,-648.7555,11776.031,ak47
-591.5366,-658.49536,11776.031,ak47
-418.8587,-483.5758,11776.031,awp
-456.3841,-1065.509,11776.031,m4a1
-1025.8511,915.26575,11776.031,m4a1
-1470.2316,416.11096,11844.895,hegrenade
-1343.2844,955.3326,11776.031,ak47
-1948.5884,824.2029,11776.031,m4a1
-1922.9766,517.63477,11776.031,m4a1
-1753.4984,908.25085,11776.031,m4a1_silencer
-2261.3977,588.3747,11744.031,m4a1_silencer
-1289.6617,969.7182,11776.031,m4a1_silencer
-202.57068,-1017.4632,11776.031,m4a1_silencer
-1498.7618,-176.25873,11776.031,mp9
-672.3257,-742.55255,11776.031,mp9
-884.3872,-597.2446,11776.031,fiveseven
-504.25378,-696.9038,11776.031,mp9
-365.53113,-746.67706,11786.722,fiveseven
-995.562,-807.16205,11648.031,galilar
-683.0058,-1357.7549,11648.031,m4a1_silencer
-738.69916,-1358.8229,11648.031,m4a1_silencer
-566.94446,-1451.045,11776.031,ak47
-630.1751,-1460.4979,11776.031,ak47
-958.861,50.378742,11776.031,ak47
-941.4247,-12.801758,11776.031,ak47
-1528.762,675.99786,11839.819,galilar
-922.5313,2.371156,11776.031,ak47
-1499.1497,639.76025,11874.031,galilar
-126.239075,-359.21674,11831.031,m4a1_silencer
-306.44348,-186.69202,11776.031,ak47
-324.2475,-993.2409,11776.031,m4a1_silencer
-311.01733,-755.05646,11776.031,m4a1_silencer
-274.81897,-795.6251,11776.031,m4a1_silencer
-91.297424,-297.46356,11776.031,m4a1_silencer
-481.30383,-199.42712,11776.031,awp
-2405.8762,265.27612,11744.031,awp
-2027.5288,119.45496,11776.031,ak47
-1957.3495,179.00256,11776.031,ak47
-985.94934,-1354.877,11776.563,m4a1_silencer
-894.541,-1473.6038,11776.031,m4a1_silencer
-2164.624,233.57127,11776.031,m4a1
-173.44073,-1466.0028,11776.031,m4a1_silencer
-169.203,-1458.772,11776.031,m4a1_silencer
-284.06152,-209.84094,11776.031,awp
-125.81061,-389.0111,11882.031,ak47
-2144.2695,-205.80139,11616.031,mp7
-318.15723,-1110.2402,11776.031,m4a1_silencer
-71.378784,-725.0089,11904.031,ak47
-2266.1328,562.68976,11744.031,mp7
-1484.3413,-430.6947,11507.621,ak47
-619.4949,-1088.38,11776.031,awp
-1027.9274,-1220.1997,11776.031,ak47
-107.10565,-1059.9916,11776.031,m4a1_silencer
-106.633545,-1060.8927,11776.031,m4a1_silencer
-993.10425,-622.9564,11611.031,ak47
-589.7343,-1060.8486,11776.031,ak47
-1734.8091,860.6996,11776.031,m4a1
-1765.9164,721.4216,11776.031,m4a1
-2451.591,-167.73657,11676.667,ak47
-2462.9304,396.4079,11798.65,ak47
-957.7498,59.60477,11776.031,awp
-2511.608,1063.877,11751.015,m4a1_silencer
-717.60504,-314.15485,11776.031,elite
-453.76813,-273.40564,11776.031,elite
-74.38666,-168.09924,11776.031,usp_silencer
-1968.468,-233.77399,11776.031,famas
-1443.7194,555.31213,11874.031,deagle
-1786.7875,513.03125,11840.028,ak47
-2038.668,-52.839233,11552.031,mp9
-2228.9326,215.09077,11763.147,mp9
-568.6572,-529.6552,11780.701,mp9
-754.87915,-532.86176,11799.031,m4a1_silencer
-656.15076,-109.44629,11776.031,ak47
-658.5277,-108.02759,11776.031,ak47
-580.8764,-1085.1525,11776.031,ak47
-716.32477,-1287.8667,11648.031,ak47
-410.15356,-846.7758,11805.031,mp9
-1092.0818,-892.2401,11776.031,mp9
-245.45703,-175.73743,11776.031,famas
-1901.9138,640.3736,11776.031,deagle
-1727.4604,-244.2757,11488.031,mp9
-1725.122,-247.39624,11488.031,mp9
-1858.808,438.9714,11840.028,ak47
-543.13727,-1435.2723,11776.031,m4a1_silencer
-1663.9802,402.37253,11776.031,ak47
-1690.4344,942.49115,11786.031,ak47
-1745.1715,851.285,11776.031,ak47
-1100.7809,-1191.8839,11776.031,m4a1_silencer
-1341.3739,-391.67114,11488.031,mp9
-1600.3911,-218.0993,11488.031,mp9
-663.6605,-428.9756,11502.104,m4a1_silencer
-2174.5178,194.55519,11616.331,m4a1_silencer
-1852.6815,344.7656,11776.031,awp
-665.2481,-111.27026,11776.031,m4a1_silencer
-101.96118,115.38677,11776.031,usp_silencer
-1085.5815,-645.8461,11776.031,hkp2000
-380.77087,-361.60803,11776.031,elite
-1079.1346,-1131.7799,11776.031,elite
-56.769165,-533.4246,11904.031,usp_silencer
-571.83246,-1087.368,11776.031,m4a1_silencer
-924.0861,-1222.0973,11746.031,mp9
-596.3978,-1473.7219,11776.031,m4a1_silencer
-85.63928,-1330.6613,11776.031,m4a1_silencer
-418.1184,-256.07507,11776.031,mp9
-665.6878,-1336.2303,11648.031,m4a1_silencer
-999.98193,-606.9906,11611.031,m4a1_silencer
-1053.7238,-528.26843,11776.031,m4a1_silencer
-1152.1075,-1018.5904,11776.031,m4a1_silencer
-512.4101,-1474.908,11776.031,m4a1_silencer
-924.03125,-1190.7023,11746.031,m4a1_silencer
-833.0341,-1474.054,11776.031,m4a1_silencer
-991.3157,-1231.7327,11765.33,m4a1_silencer
-1001.7873,-1345.0331,11773.492,m4a1_silencer
-705.5842,-1320.221,11648.031,m4a1_silencer
-1910.7677,975.39417,11744.031,m4a1_silencer
-1799.1853,606.4613,11776.031,m4a1_silencer
-1830.514,886.78796,11776.031,m4a1_silencer
-2125.849,972.1459,11744.031,ak47
-1882.3887,1075.7192,11752.469,ak47
