X,Y,Z,weapon
-638.187,-549.1995,11799.031,glock
92.00381,-166.31543,11810.031,glock
-1126.9609,-714.50287,11776.031,glock
-522.86664,-685.3069,11776.031,glock
-772.3971,-577.74445,11776.031,glock
-2280.628,420.93472,11744.031,mac10
-2437.0989,44.81017,11712.031,galilar
-2350.761,541.96515,11744.031,mac10
-1923.5145,904.4303,11776.031,mac10
-1788.2614,938.57336,11776.031,galilar
-2458.1497,-86.65637,11712.031,mac10
-2423.0059,-94.1261,11712.031,mac10
-2276.93,-252.97375,11630.5,inferno
-2434.0732,-92.42389,11712.031,mac10
-2560.406,262.0509,11746.046,galilar
-1445.0879,152.17398,11776.031,mac10
-1224.4222,89.35627,11776.031,galilar
-1350.7076,149.53899,11776.031,galilar
-1105.6407,-76.336914,11488.031,ak47
-1310.8743,268.03458,11776.031,ak47
-658.92267,-1016.8299,11648.031,tec9
-867.8746,-1079.9159,11648.031,ak47
-375.23584,-1141.4778,11741.621,ak47
-827.88446,-280.66693,11488.031,tec9
-1933.1823,649.6206,11776.031,tec9
-1768.8712,841.12024,11776.031,tec9
-1918.9103,832.45776,11776.031,tec9
38.91537,-52.014587,11782.774,ak47
-133.76343,-597.59985,11774.031,ak47
-507.07788,-530.94495,11776.031,ak47
-794.8526,-584.7366,11776.031,ak47
-821.9518,-551.6838,11776.031,ak47
-655.4606,-1095.1464,11776.031,galilar
-409.56677,-1142.7367,11730.178,mac10
-2079.3662,544.464,11776.031,galilar
-1785.7152,293.00912,11776.031,glock
-1630.2777,537.46576,11776.031,glock
-1931.02,636.597,11776.031,glock
-2507.8225,341.382,11744.031,galilar
-2503.2263,618.13245,11744.031,galilar
-2608.3481,851.0236,11751.933,ak47
-991.7879,117.32002,11776.031,ak47
-234.86047,-1220.5073,11776.031,galilar
-1123.7699,-704.10986,11776.031,ak47
-1096.4165,-649.91504,11776.031,ak47
-1925.3248,27.79319,11776.031,deagle
-402.62732,-1210.6318,11732.49,ak47
-362.74622,-785.42194,11786.79,ak47
-294.51788,-899.9176,11776.031,galilar
-131.10248,-677.202,11774.031,ak47
-1040.7511,-1376.8485,11784.031,ak47
35.915306,-2.1015625,11782.405,ak47
28.310024,-752.8009,11781.472,ak47
-1019.54865,-668.03076,11776.031,awp
-1048.8491,-392.79883,11776.031,ak47
-1002.26917,-377.1858,11488.031,ak47
-1951.2009,355.64117,11776.031,ak47
-976.29205,-1280.6595,11753.413,ak47
-1776.7583,261.13156,11776.031,ak47
-1089.9727,-641.8151,11776.031,ak47
-532.683,-1045.71,11776.031,ak47
-531.23193,-1051.9648,11776.031,ak47
-376.11108,-1168.9576,11741.329,ak47
-581.9237,-203.48914,11488.031,awp
-1848.907,-171.54633,11552.031,ak47
-1914.4054,-239.38745,11776.031,ak47
-1821.7875,-268.24878,11797.651,ak47
-2133.4702,38.811813,11552.031,awp
-1804.5472,334.89767,11776.031,glock
-1398.5939,463.53183,11858.798,glock
