,feature,importance
13,playerCountDifferential,219.94297790527344
1,teammatesAlive,44.83333206176758
2,enemiesAlive,35.968482971191406
16,bombsite_N/A,22.53341293334961
6,enemyBuyType,15.127765655517578
5,teamBuyType,14.266547203063965
8,bombPlantStatus,13.704463958740234
3,teamEquipmentValue,13.20117473602295
14,bombsite_A,12.45151424407959
4,enemyEquipmentValue,11.841259956359863
15,bombsite_B,11.828030586242676
17,game_phase,11.538130760192871
9,teammateHp,10.32184886932373
0,Unnamed: 0,9.6898832321167
12,enemyUtilCount,9.17967414855957
10,enemyHp,8.646717071533203
11,teamUtilCount,7.133577346801758
7,clockTime,2.1719303131103516
