,feature,importance
13,playerCountDifferential,195.15240478515625
1,teammatesAlive,26.610179901123047
16,bombsite_N/A,22.443105697631836
2,enemiesAlive,14.964033126831055
8,bombPlantStatus,12.328990936279297
10,enemyHp,12.309225082397461
5,teamBuyType,11.804669380187988
14,bombsite_A,11.697275161743164
3,teamEquipmentValue,11.318747520446777
9,teammateHp,11.013429641723633
12,enemyUtilCount,10.888492584228516
4,enemyEquipmentValue,10.807069778442383
15,bombsite_B,9.896313667297363
17,game_phase,9.820121765136719
6,enemyBuyType,8.707734107971191
0,Unnamed: 0,8.589836120605469
11,teamUtilCount,8.282852172851562
7,clockTime,2.155613899230957
